//year, concentration
-20000  ,100
1950    ,100
1951    ,100
1952    ,100
1953    ,100
1954    ,100
1955    ,102.18
1956    ,103.87
1957    ,110.17
1958    ,116.84
1959    ,123.4027273
1960    ,121.4175
1961    ,122.2418182
1962    ,136.53
1963    ,172.3708333
1964    ,184.5891667
1965    ,176.1533333
1966    ,169.4433333
1967    ,163.7058333
1968    ,157.7575
1969    ,155.5391667
1970    ,153.3975
1971    ,150.4375
1972    ,147.6958333
1973    ,143.8783333
1974    ,141.4675
1975    ,138.5491667
1976    ,135.0916667
1977    ,133.4591667
1978    ,132.4991667
1979    ,129.5983333
1980    ,126.9891667
1981    ,125.95
1982    ,124.3616667
1983    ,123.1266667
1984    ,121.7016667
1985    ,120.345
1986    ,119.2358333
1987    ,118.5383333
1988    ,117.5816667
1989    ,116.6308333
1990    ,115.5283333
1991    ,114.34
1992    ,113.8458333
1993    ,112.95
1994    ,112.3391667
1995    ,111.7383333
1996    ,110.89
1997    ,110.53
1998    ,110.165
1999    ,109.8
2000    ,108.9367809
2001    ,108.4548856
2002    ,107.9989753
2003    ,107.567649
2004    ,107.1595809
2005    ,106.773517
2006    ,106.4082707
2007    ,106.0627194
2008    ,105.7358012
2009    ,105.4265113
2010    ,105.1338992
2011    ,104.8570655
2012    ,104.5951594
2013    ,104.347376
2014    ,104.1129538
