//year      ,concentration
-20000    ,6
1615    ,6
1616    ,6
1617    ,6
1618    ,6
1619    ,6
1620    ,6
1621    ,6
1622    ,6
1623    ,6
1624    ,6
1625    ,6
1626    ,6
1627    ,6
1628    ,6
1629    ,6
1630    ,6
1631    ,6
1632    ,6
1633    ,6
1634    ,6
1635    ,6
1636    ,6
1637    ,6
1638    ,6
1639    ,6
1640    ,6
1641    ,6
1642    ,6
1643    ,6
1644    ,6
1645    ,6
1646    ,6
1647    ,6
1648    ,6
1649    ,6
1650    ,6
1651    ,6
1652    ,6
1653    ,6
1654    ,6
1655    ,6
1656    ,6
1657    ,6
1658    ,6
1659    ,6
1660    ,6
1661    ,6
1662    ,6
1663    ,6
1664    ,6
1665    ,6
1666    ,6
1667    ,6
1668    ,6
1669    ,6
1670    ,6
1671    ,6
1672    ,6
1673    ,6
1674    ,6
1675    ,6
1676    ,6
1677    ,6
1678    ,6
1679    ,6
1680    ,6
1681    ,6
1682    ,6
1683    ,6
1684    ,6
1685    ,6
1686    ,6
1687    ,6
1688    ,6
1689    ,6
1690    ,6
1691    ,6
1692    ,6
1693    ,6
1694    ,6
1695    ,6
1696    ,6
1697    ,6
1698    ,6
1699    ,6
1700    ,6
1701    ,6
1702    ,6
1703    ,6
1704    ,6
1705    ,6
1706    ,6
1707    ,6
1708    ,6
1709    ,6
1710    ,6
1711    ,6
1712    ,6
1713    ,6
1714    ,6
1715    ,6
1716    ,6
1717    ,6
1718    ,6
1719    ,6
1720    ,6
1721    ,6
1722    ,6
1723    ,6
1724    ,6
1725    ,6
1726    ,6
1727    ,6
1728    ,6
1729    ,6
1730    ,6
1731    ,6
1732    ,6
1733    ,6
1734    ,6
1735    ,6
1736    ,6
1737    ,6
1738    ,6
1739    ,6
1740    ,6
1741    ,6
1742    ,6
1743    ,6
1744    ,6
1745    ,6
1746    ,6
1747    ,6
1748    ,6
1749    ,6
1750    ,6
1751    ,6
1752    ,6
1753    ,6
1754    ,6
1755    ,6
1756    ,6
1757    ,6
1758    ,6
1759    ,6
1760    ,6
1761    ,6
1762    ,6
1763    ,6
1764    ,6
1765    ,6
1766    ,6
1767    ,6
1768    ,6
1769    ,6
1770    ,6
1771    ,6
1772    ,6
1773    ,6
1774    ,6
1775    ,6
1776    ,6
1777    ,6
1778    ,6
1779    ,6
1780    ,6
1781    ,6
1782    ,6
1783    ,6
1784    ,6
1785    ,6
1786    ,6
1787    ,6
1788    ,6
1789    ,6
1790    ,6
1791    ,6
1792    ,6
1793    ,6
1794    ,6
1795    ,6
1796    ,6
1797    ,6
1798    ,6
1799    ,6
1800    ,6
1801    ,6
1802    ,6
1803    ,6
1804    ,6
1805    ,6
1806    ,6
1807    ,6
1808    ,6
1809    ,6
1810    ,6
1811    ,6
1812    ,6
1813    ,6
1814    ,6
1815    ,6
1816    ,6
1817    ,6
1818    ,6
1819    ,6
1820    ,6
1821    ,6
1822    ,6
1823    ,6
1824    ,6
1825    ,6
1826    ,6
1827    ,6
1828    ,6
1829    ,6
1830    ,6
1831    ,6
1832    ,6
1833    ,6
1834    ,6
1835    ,6
1836    ,6
1837    ,6
1838    ,6
1839    ,6
1840    ,6
1841    ,6
1842    ,6
1843    ,6
1844    ,6
1845    ,6
1846    ,6
1847    ,6
1848    ,6
1849    ,6
1850    ,6
1851    ,6
1852    ,6
1853    ,6
1854    ,6
1855    ,6
1856    ,6
1857    ,6
1858    ,6
1859    ,6
1860    ,6
1861    ,6
1862    ,6
1863    ,6
1864    ,6
1865    ,6
1866    ,6
1867    ,6
1868    ,6
1869    ,6
1870    ,6
1871    ,6
1872    ,6
1873    ,6
1874    ,6
1875    ,6
1876    ,6
1877    ,6
1878    ,6
1879    ,6
1880    ,6
1881    ,6
1882    ,6
1883    ,6
1884    ,6
1885    ,6
1886    ,6
1887    ,6
1888    ,6
1889    ,6
1890    ,6
1891    ,6
1892    ,6
1893    ,6
1894    ,6
1895    ,6
1896    ,6
1897    ,6
1898    ,6
1899    ,6
1900    ,6
1901    ,6
1902    ,6
1903    ,6
1904    ,6
1905    ,6
1906    ,6
1907    ,6
1908    ,6
1909    ,6
1910    ,6
1911    ,6
1912    ,6
1913    ,6
1914    ,6
1915    ,6
1916    ,6
1917    ,6
1918    ,6
1919    ,6
1920    ,6
1921    ,6
1922    ,6
1923    ,6
1924    ,6
1925    ,6
1926    ,6
1927    ,6
1928    ,6
1929    ,6
1930    ,6
1931    ,6
1932    ,6
1933    ,6
1934    ,6
1935    ,6
1936    ,6
1937    ,6
1938    ,6
1939    ,6
1940    ,6
1941    ,6
1942    ,6
1943    ,6
1944    ,6
1945    ,6
1946    ,6
1947    ,6
1948    ,6
1949    ,6
1950    ,6
1951    ,6
1952    ,6
1953    ,16.8255109
1954    ,183.5431828
1955    ,26.35682271
1956    ,117.2859325
1957    ,75.29094422
1958    ,374.6343462
1959    ,288.1112371
1960    ,99.69995466
1961    ,405.6115094
1962    ,642.4382609
1963    ,1681.695316
1964    ,1045.129067
1965    ,511.2722656
1966    ,464.9249339
1967    ,313.4126273
1968    ,170.4888081
1969    ,194.1353269
1970    ,148.974
1971    ,135.8901739
1972    ,92.18228018
1973    ,76.61276692
1974    ,98.54930479
1975    ,50.11218876
1976    ,45.97740901
1977    ,56.82876065
1978    ,71.52346088
1979    ,38.28167932
1980    ,30.85179675
1981    ,32.38161544
1982    ,15.94802971
1983    ,17.53476542
1984    ,15.90088338
1985    ,17.21144109
1986    ,14.57174468
1987    ,13.35644209
1988    ,13.87497022
1989    ,11.29231
1990    ,8.495447545
1991    ,11.86502528
1992    ,9.96024869
1993    ,9.726376114
1994    ,8.174787302
1995    ,9.508273837
1996    ,9.282607861
1997    ,9.021996667
1998    ,9.26646339
1999    ,8.239236929
2000    ,8.852550281
2001    ,9.437710013
2002    ,8.556279385
2003    ,8.467070422
2004    ,8.404768879
2005    ,8.353041553
2006    ,8.31009372
2007    ,8.274435268
2008    ,8.244828997
2009    ,8.220247692
2010    ,8.199838484
2011    ,8.182884857
2012    ,8.168818442
2013    ,8.157140116
2014    ,8.147444447
