//year           , concentration
1949     ,0
1950     ,1.18E-04
1951     ,1.18E-04
1952     ,1.18E-04
1953     ,0.1176471
1954     ,0.1176471
1955     ,0.3529412
1956     ,1.0588235
1957     ,2.2352941
1958     ,3.8823529
1959     ,6.1176471
1960     ,8.5882353
1961     ,11.4117647
1962     ,14.2352941
1963     ,17.1764706
1964     ,20
1965     ,22.5882353
1966     ,25.1764706
1967     ,27.5294118
1968     ,29.6470588
1969     ,31.5294118
1970     ,33.1764706
1971     ,34.7058824
1972     ,36.1176471
1973     ,36.0615067
1974     ,37.4192115
1975     ,43.5204001
1976     ,46.0929734
1977     ,43.4828358
1978     ,44.4871578
1979     ,50.763294
1980     ,48.1682233
1981     ,49.5499586
1982     ,51.3337323
1983     ,52.2239422
1984     ,56.9405471
1985     ,78.2500243
1986     ,74.701642
1987     ,70.7198273
1988     ,63.6107223
1989     ,71.0261342
1990     ,71.2473768
1991     ,74.5198577
1992     ,70.0452618
1993     ,74.2374631
1994     ,80.6824754
1995     ,94.6455745
1996     ,88.8855324
1997     ,97.6433061
1998     ,100.7433743
1999     ,106.3927466
2000     ,101.399653
2001     ,96.6714037
2002     ,99.2218224
2003     ,105.6392805
2004     ,111.5595975
2005     ,106.4259833
2006     ,105.3655632
2007     ,99.0289973
2008     ,99.5338932
2009     ,103.6941176
2010     ,99.7647059
2011     ,99.6705882
2012     ,100.0823529
2013     ,100
2014     ,100
