//year,concentration
1850.00,2.00
1850.08,2.00
1850.17,2.00
1850.25,2.00
1850.33,2.00
1850.42,2.00
1850.50,2.00
1850.58,2.00
1850.67,2.00
1850.75,2.00
1850.83,2.00
1850.92,2.00
1851.00,2.00
1851.08,2.00
1851.17,2.00
1851.25,2.00
1851.33,2.00
1851.42,2.00
1851.50,2.00
1851.58,2.00
1851.67,2.00
1851.75,2.00
1851.83,2.00
1851.92,2.00
1852.00,2.00
1852.08,2.00
1852.17,2.00
1852.25,2.00
1852.33,2.00
1852.42,2.00
1852.50,2.00
1852.58,2.00
1852.67,2.00
1852.75,2.00
1852.83,2.00
1852.92,2.00
1853.00,2.00
1853.08,2.00
1853.17,2.00
1853.25,2.00
1853.33,2.00
1853.42,2.00
1853.50,2.00
1853.58,2.00
1853.67,2.00
1853.75,2.00
1853.83,2.00
1853.92,2.00
1854.00,2.00
1854.08,2.00
1854.17,2.00
1854.25,2.00
1854.33,2.00
1854.42,2.00
1854.50,2.00
1854.58,2.00
1854.67,2.00
1854.75,2.00
1854.83,2.00
1854.92,2.00
1855.00,2.00
1855.08,2.00
1855.17,2.00
1855.25,2.00
1855.33,2.00
1855.42,2.00
1855.50,2.00
1855.58,2.00
1855.67,2.00
1855.75,2.00
1855.83,2.00
1855.92,2.00
1856.00,2.00
1856.08,2.00
1856.17,2.00
1856.25,2.00
1856.33,2.00
1856.42,2.00
1856.50,2.00
1856.58,2.00
1856.67,2.00
1856.75,2.00
1856.83,2.00
1856.92,2.00
1857.00,2.00
1857.08,2.00
1857.17,2.00
1857.25,2.00
1857.33,2.00
1857.42,2.00
1857.50,2.00
1857.58,2.00
1857.67,2.00
1857.75,2.00
1857.83,2.00
1857.92,2.00
1858.00,2.00
1858.08,2.00
1858.17,2.00
1858.25,2.00
1858.33,2.00
1858.42,2.00
1858.50,2.00
1858.58,2.00
1858.67,2.00
1858.75,2.00
1858.83,2.00
1858.92,2.00
1859.00,2.00
1859.08,2.00
1859.17,2.00
1859.25,2.00
1859.33,2.00
1859.42,2.00
1859.50,2.00
1859.58,2.00
1859.67,2.00
1859.75,2.00
1859.83,2.00
1859.92,2.00
1860.00,2.00
1860.08,2.00
1860.17,2.00
1860.25,2.00
1860.33,2.00
1860.42,2.00
1860.50,2.00
1860.58,2.00
1860.67,2.00
1860.75,2.00
1860.83,2.00
1860.92,2.00
1861.00,2.00
1861.08,2.00
1861.17,2.00
1861.25,2.00
1861.33,2.00
1861.42,2.00
1861.50,2.00
1861.58,2.00
1861.67,2.00
1861.75,2.00
1861.83,2.00
1861.92,2.00
1862.00,2.00
1862.08,2.00
1862.17,2.00
1862.25,2.00
1862.33,2.00
1862.42,2.00
1862.50,2.00
1862.58,2.00
1862.67,2.00
1862.75,2.00
1862.83,2.00
1862.92,2.00
1863.00,2.00
1863.08,2.00
1863.17,2.00
1863.25,2.00
1863.33,2.00
1863.42,2.00
1863.50,2.00
1863.58,2.00
1863.67,2.00
1863.75,2.00
1863.83,2.00
1863.92,2.00
1864.00,2.00
1864.08,2.00
1864.17,2.00
1864.25,2.00
1864.33,2.00
1864.42,2.00
1864.50,2.00
1864.58,2.00
1864.67,2.00
1864.75,2.00
1864.83,2.00
1864.92,2.00
1865.00,2.00
1865.08,2.00
1865.17,2.00
1865.25,2.00
1865.33,2.00
1865.42,2.00
1865.50,2.00
1865.58,2.00
1865.67,2.00
1865.75,2.00
1865.83,2.00
1865.92,2.00
1866.00,2.00
1866.08,2.00
1866.17,2.00
1866.25,2.00
1866.33,2.00
1866.42,2.00
1866.50,2.00
1866.58,2.00
1866.67,2.00
1866.75,2.00
1866.83,2.00
1866.92,2.00
1867.00,2.00
1867.08,2.00
1867.17,2.00
1867.25,2.00
1867.33,2.00
1867.42,2.00
1867.50,2.00
1867.58,2.00
1867.67,2.00
1867.75,2.00
1867.83,2.00
1867.92,2.00
1868.00,2.00
1868.08,2.00
1868.17,2.00
1868.25,2.00
1868.33,2.00
1868.42,2.00
1868.50,2.00
1868.58,2.00
1868.67,2.00
1868.75,2.00
1868.83,2.00
1868.92,2.00
1869.00,2.00
1869.08,2.00
1869.17,2.00
1869.25,2.00
1869.33,2.00
1869.42,2.00
1869.50,2.00
1869.58,2.00
1869.67,2.00
1869.75,2.00
1869.83,2.00
