//year, concentration
1996.134063,23
1996.823529,20
1996.875513,19
1997.146375,22
1997.25855,23
1997.277702,23
1997.518468,11
1997.622435,11
1997.756498,21
1997.800274,19
1997.860465,19
1997.991792,19
1998.090287,19
1998.131327,31
1998.311902,11
1998.358413,11
1998.369357,11
1998.432285,11
1998.484268,12
1999.27223,20
2000.363885,14
2001.187415,17
2002.470588,11
2003.452804,12
2004.213406,12
2004.481532,11
2004.771546,12
2005.23119,11
2005.461012,12
2005.783858,11
2007.009576,11.3
2007.220246,11.8
2008.19699,11.9
2008.484268,11.8
2008.886457,11.7
2009.214774,11.5
2010.213406,11.8
2011.46922,12.8
2012.262654,14.3
2013.255814,27.4
2014.273598,14.6
2014.443228,14.7
