//year, concentration
2000.426813,3
2001.0342,4.1
2001.266758,4.8
2002.355677,13
2003.373461,15
2004.235294,21
2004.481532,17
2004.771546,26
2005.039672,19
2005.23119,21
2005.480164,21
2005.770178,26
2006.057456,25
2006.415869,22
2007.376197,26
2008.216142,24.9
2008.372093,14.5
2009.214774,24.7
2009.502052,22.5
2010.47606,25.2
2011.608755,27.3
2011.876881,30.1
2012.158687,28.2
2012.396717,27.3
2012.777018,31.4
2012.987688,32.4
2013.239398,30.4
2013.428181,30.9
2013.73461,32.7
2014.005472,35
2014.194254,34.3
2014.290014,33.9
2014.404925,37.4
2014.426813,35.7
2014.552668,30.1
2014.615595,35.1
2014.730506,33.1
2014.826265,33.4
