//year     ,concentration
1850     ,8.854
1850.08     ,8.854
1850.17     ,8.854
1850.25     ,8.854
1850.33     ,8.854
1850.42     ,8.854
1850.5     ,8.854
1850.58     ,8.854
1850.67     ,8.854
1850.75     ,8.854
1850.83     ,8.854
1850.92     ,8.854
1851     ,8.854
1851.08     ,8.854
1851.17     ,8.854
1851.25     ,8.854
1851.33     ,8.854
1851.42     ,8.854
1851.5     ,8.854
1851.58     ,8.854
1851.67     ,8.854
1851.75     ,8.854
1851.83     ,8.854
1851.92     ,8.854
1852     ,8.854
1852.08     ,8.854
1852.17     ,8.854
1852.25     ,8.854
1852.33     ,8.854
1852.42     ,8.854
1852.5     ,8.854
1852.58     ,8.854
1852.67     ,8.854
1852.75     ,8.854
1852.83     ,8.854
1852.92     ,8.854
1853     ,8.854
1853.08     ,8.854
1853.17     ,8.854
1853.25     ,8.854
1853.33     ,8.854
1853.42     ,8.854
1853.5     ,8.854
1853.58     ,8.854
1853.67     ,8.854
1853.75     ,8.854
1853.83     ,8.854
1853.92     ,8.854
1854     ,8.854
1854.08     ,8.854
1854.17     ,8.854
1854.25     ,8.854
1854.33     ,8.854
1854.42     ,8.854
1854.5     ,8.854
1854.58     ,8.854
1854.67     ,8.854
1854.75     ,8.854
1854.83     ,8.854
1854.92     ,8.854
1855     ,8.854
1855.08     ,8.854
1855.17     ,8.854
1855.25     ,8.854
1855.33     ,8.854
1855.42     ,8.854
1855.5     ,8.854
1855.58     ,8.854
1855.67     ,8.854
1855.75     ,8.854
1855.83     ,8.854
1855.92     ,8.854
1856     ,8.854
1856.08     ,8.854
1856.17     ,8.854
1856.25     ,8.854
1856.33     ,8.854
1856.42     ,8.854
1856.5     ,8.854
1856.58     ,8.854
1856.67     ,8.854
1856.75     ,8.854
1856.83     ,8.854
1856.92     ,8.854
1857     ,8.854
1857.08     ,8.854
1857.17     ,8.854
1857.25     ,8.854
1857.33     ,8.854
1857.42     ,8.854
1857.5     ,8.854
1857.58     ,8.854
1857.67     ,8.854
1857.75     ,8.854
1857.83     ,8.854
1857.92     ,8.854
1858     ,8.854
1858.08     ,8.854
1858.17     ,8.854
1858.25     ,8.854
1858.33     ,8.854
1858.42     ,8.854
1858.5     ,8.854
1858.58     ,8.854
1858.67     ,8.854
1858.75     ,8.854
1858.83     ,8.854
1858.92     ,8.854
1859     ,8.854
1859.08     ,8.854
1859.17     ,8.854
1859.25     ,8.854
1859.33     ,8.854
1859.42     ,8.854
1859.5     ,8.854
1859.58     ,8.854
1859.67     ,8.854
1859.75     ,8.854
1859.83     ,8.854
1859.92     ,8.854
1860     ,8.854
1860.08     ,8.854
1860.17     ,8.854
1860.25     ,8.854
1860.33     ,8.854
1860.42     ,8.854
1860.5     ,8.854
1860.58     ,8.854
1860.67     ,8.854
1860.75     ,8.854
1860.83     ,8.854
1860.92     ,8.854
1861     ,8.854
1861.08     ,8.854
