t, 3H_std,t, Well1_P1
0.020,0,0.059,0
0.023,3.07359,0.068,0.763235
0.025,0,0.078,0.266129
0.028,0,0.090,0.579971
0.031,3.6127,0.103,1.01114
0.034,0.814942,0.118,0.264427
0.038,0,0.135,0.922019
0.042,1.99048,0.155,0.334891
0.046,0.598676,0.178,0.175157
0.051,1.08038,0.204,0.407166
0.057,0,0.234,0.177466
0.063,1.0995,0.269,0.464099
0.070,0,0.308,0.505702
0.078,1.07421,0.354,0.264497
0.086,0.646178,0.406,0.15371
0.095,0.437289,0.466,0.267983
0.106,2.49894,0.534,0.194671
0.117,0.830722,0.613,0.220606
0.130,1.39205,0.703,0.295855
0.144,1.73916,0.806,0.270796
0.159,1.22054,0.925,0.325983
0.177,2.43859,1.061,0.225371
0.196,0.993713,1.217,0.281877
0.217,2.1135,1.396,0.208486
0.240,1.96482,1.602,0.194722
0.266,1.66858,1.838,0.169742
0.295,2.35246,2.108,0.192356
0.327,1.48585,2.418,0.146182
0.363,1.80037,2.774,0.0862021
0.402,1.07147,3.182,0.0522738
0.445,1.27867,3.651,0.116767
0.494,0.731647,4.188,0.0794442
0.547,0.787128,4.804,0.0800734
0.606,0.435304,5.511,0.0377303
0.672,0.578831,6.322,0.0493351
0.745,0.279795,7.253,0.0172024
0.825,0.151477,8.320,0.0287416
0.915,0.151865,9.545,0.0206972
1.014,0.137029,10.949,0.00664705
1.123,0.197829,12.560,0.00165552
1.245,0.145033,14.409,0.000721572
1.380,0.161064,16.529,0
1.529,0.0181662,18.962,0.00109662
1.695,0.0409788,21.752,0
1.878,0.066556,24.954,0.000416654
2.082,0.0467087,28.626,0
2.307,0.0421456,32.839,0.00189966
2.557,0.0271631,37.671,0.00082798
2.834,0.0196076,43.215,0
3.141,0.00884606,49.575,0.000209723
3.481,0.00798188,56.871,0.000548456
3.857,0,65.240,0
