sample_no, 3H_std, Well1_P1, log_posterior, log_posterior_transformed, stuck_counter, perturbation_coeff_0, perturbation_coeff_1, 
8, 1.663074e-01, 7.613534e+00, -2.563290e+00, -2.563290e+00, 0.000000, 3.453878e-01, 2.649159e-01, 
9, 2.966140e-01, 9.202294e+00, -3.341617e+00, -3.341617e+00, 0.000000, 3.453878e-01, 2.649159e-01, 
10, 1.500580e-01, 7.600963e+00, -2.485923e+00, -2.485923e+00, 0.000000, 3.453878e-01, 2.649159e-01, 
11, 1.830212e-01, 8.001110e+00, -2.695673e+00, -2.695673e+00, 0.000000, 3.453878e-01, 2.649159e-01, 
12, 1.806375e-01, 7.229736e+00, -2.579403e+00, -2.579403e+00, 0.000000, 3.453878e-01, 2.649159e-01, 
13, 1.095700e-01, 8.802515e+00, -2.495229e+00, -2.495229e+00, 0.000000, 3.453878e-01, 2.649159e-01, 
14, 2.002853e-01, 7.890679e+00, -2.752763e+00, -2.752763e+00, 0.000000, 3.453878e-01, 2.649159e-01, 
15, 1.339049e-01, 4.729659e+00, -2.652263e+00, -2.652263e+00, 0.000000, 3.453878e-01, 2.649159e-01, 
16, 1.367226e-01, 5.543541e+00, -2.466783e+00, -2.466783e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
17, 6.622280e-01, 7.624473e+00, -3.957012e+00, -3.957012e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
18, 8.757974e-02, 7.314810e+00, -2.176406e+00, -2.176406e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
19, 7.942581e-02, 6.984449e+00, -2.217701e+00, -2.217701e+00, 1.000000, 4.605170e-01, 3.532212e-01, 
20, 1.775806e-01, 7.861948e+00, -2.649510e+00, -2.649510e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
21, 1.398401e-01, 5.986008e+00, -2.414309e+00, -2.414309e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
22, 1.642995e-01, 6.466577e+00, -2.459628e+00, -2.459628e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
23, 1.212809e-01, 3.474282e+00, -3.386940e+00, -3.386940e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
24, 5.842966e-02, 7.034895e+00, -2.264984e+00, -2.264984e+00, 0.000000, 4.605170e-01, 3.532212e-01, 
