Generation: 0
ID, young_mean_age_well8, young_p2_well8, fraction_old_well8, age_old_well8, fm_well8, 13C_bio, He_acc_rate, 13C_mineral, std_3H, std_3He, std_13C, std_14C, std_4He, std_NO3, std_85Kr, likelihood, Fitness, Rank, 3H_well8_MSE, 3H_well8_R2, 3H_well8_NSE, 3He_well8_MSE, 3He_well8_R2, 3He_well8_NSE, 13C_well8_MSE, 13C_well8_R2, 13C_well8_NSE, 14C_well8_MSE, 14C_well8_R2, 14C_well8_NSE, 4He_well8_MSE, 4He_well8_R2, 4He_well8_NSE, NO3_well8_MSE, NO3_well8_R2, NO3_well8_NSE, 85Kr_well8_MSE, 85Kr_well8_R2, 85Kr_well8_NSE, 
0, 8.481783e+01, 4.004391e+01, 7.830992e-01, 1.606958e+04, 9.116474e-01, -2.620979e+01, 3.352892e+00, 1.536459e+00, 2.784969e+00, 2.774310e+00, 1.007054e+00, 3.181468e+01, 3.654197e+00, 2.615664e+00, 1.904937e+01, 6.619620e+07, 1.298701e-02, 77, 9.061949e-01, 0.000000e+00, 0.000000e+00, 2.887380e+01, 0.000000e+00, 0.000000e+00, 1.348116e+01, 0.000000e+00, 0.000000e+00, 3.558270e+01, 0.000000e+00, 0.000000e+00, 4.204583e+04, 0.000000e+00, 0.000000e+00, 1.385320e+01, -7.793298e+00, -7.793298e+00, 6.213581e-02, 0.000000e+00, 0.000000e+00, 
1, 9.203853e+01, 6.393546e+01, 7.172969e-01, 3.261250e+03, 6.069689e-01, -2.693480e+01, 2.429625e+00, 2.744632e-01, 8.043726e+00, 7.918287e-01, 8.617943e-01, 7.359732e+00, 1.097000e+00, 4.994730e+00, 4.443312e+00, 1.274280e+07, 1.818182e-02, 55, 6.014152e-01, 0.000000e+00, 0.000000e+00, 2.543424e+01, 0.000000e+00, 0.000000e+00, 4.233086e+00, 0.000000e+00, 0.000000e+00, 7.290981e+00, 0.000000e+00, 0.000000e+00, 5.537896e+03, 0.000000e+00, 0.000000e+00, 1.344316e+01, -7.280451e+00, -7.280451e+00, 5.820640e-02, 0.000000e+00, 0.000000e+00, 
2, 5.372858e+01, 8.407211e+01, 6.126398e-01, 6.272617e+03, 6.375523e-01, -2.490285e+01, 4.936336e+00, 1.945550e+00, 2.932243e+00, 3.859075e+00, 1.100815e+00, 3.872578e+01, 4.008284e+00, 4.468494e+00, 5.737963e+00, 1.107384e+07, 1.886792e-02, 53, 5.793981e-02, 0.000000e+00, 0.000000e+00, 3.106710e+01, 0.000000e+00, 0.000000e+00, 6.433702e+00, 0.000000e+00, 0.000000e+00, 1.256759e+01, 0.000000e+00, 0.000000e+00, 1.886346e+04, 0.000000e+00, 0.000000e+00, 1.114192e+01, -4.688157e+00, -4.688157e+00, 3.458413e-02, 0.000000e+00, 0.000000e+00, 
3, 3.848354e+01, 8.096473e+01, 9.190265e-01, 1.860228e+03, 9.493271e-01, -2.489602e+01, 8.614724e-01, 3.844277e-01, 6.635637e+00, 4.452261e+00, 7.628966e-01, 4.144395e+00, 2.100303e-01, 2.342739e+00, 1.355607e+00, 1.818257e+07, 1.666667e-02, 60, 1.582945e+00, 0.000000e+00, 0.000000e+00, 4.503212e+01, 0.000000e+00, 0.000000e+00, 1.377384e+01, 0.000000e+00, 0.000000e+00, 3.451663e+01, 0.000000e+00, 0.000000e+00, 1.266547e+03, 0.000000e+00, 0.000000e+00, 1.353019e+01, -7.388018e+00, -7.388018e+00, 2.984805e-02, 0.000000e+00, 0.000000e+00, 
4, 2.763660e+01, 9.709278e+01, 9.022081e-01, 1.709294e+04, 2.666657e-01, -2.484096e+01, 3.752695e+00, 1.520497e+00, 5.130228e+00, 3.341942e+00, 1.110052e+00, 2.924737e+00, 4.382000e+00, 4.665992e+00, 1.862311e+01, 8.661056e+07, 1.204819e-02, 83, 1.415754e+00, 0.000000e+00, 0.000000e+00, 4.583142e+01, 0.000000e+00, 0.000000e+00, 3.151029e+00, 0.000000e+00, 0.000000e+00, 2.264054e+01, 0.000000e+00, 0.000000e+00, 5.767298e+04, 0.000000e+00, 0.000000e+00, 1.326405e+01, -7.061275e+00, -7.061275e+00, 2.366475e-03, 0.000000e+00, 0.000000e+00, 
5, 7.349047e+01, 2.914505e+01, 7.385343e-01, 1.297959e+04, 3.540487e-01, -2.424855e+01, 1.660576e+00, 8.802091e-01, 8.801952e+00, 4.147713e+00, 7.276405e-01, 1.221944e+01, 8.934790e+00, 1.816765e+00, 1.376473e+01, 1.551971e+06, 4.000000e-02, 25, 2.920873e-01, 0.000000e+00, 0.000000e+00, 1.900124e+01, 0.000000e+00, 0.000000e+00, 7.334989e-01, 0.000000e+00, 0.000000e+00, 9.619246e+00, 0.000000e+00, 0.000000e+00, 1.574106e+04, 0.000000e+00, 0.000000e+00, 1.364281e+01, -7.528229e+00, -7.528229e+00, 6.164145e-02, 0.000000e+00, 0.000000e+00, 
6, 9.586448e+01, 5.927537e+01, 6.573040e-01, 1.724419e+04, 4.395599e-01, -2.330412e+01, 3.984968e+00, 1.629534e+00, 6.845343e+00, 4.555750e+00, 1.016732e+00, 1.157542e+01, 9.503021e+00, 4.608628e+00, 3.038434e+00, 1.125679e+07, 1.851852e-02, 54, 4.291946e-01, 0.000000e+00, 0.000000e+00, 2.176687e+01, 0.000000e+00, 0.000000e+00, 2.109956e+00, 0.000000e+00, 0.000000e+00, 1.301214e+01, 0.000000e+00, 0.000000e+00, 4.509033e+04, 0.000000e+00, 0.000000e+00, 1.349888e+01, -7.349243e+00, -7.349243e+00, 5.976051e-02, 0.000000e+00, 0.000000e+00, 
7, 8.870091e+01, 6.446698e+01, 4.319534e-01, 1.258213e+04, 2.810594e-01, -2.385599e+01, 3.075271e+00, 8.940672e-01, 2.268805e+00, 9.457902e-01, 6.248459e-01, 2.826574e+01, 4.170848e+00, 9.310747e-01, 1.814540e+01, 7.977525e+06, 2.000000e-02, 50, 9.358694e-01, 0.000000e+00, 0.000000e+00, 2.812270e+00, 0.000000e+00, 0.000000e+00, 2.343134e+00, 0.000000e+00, 0.000000e+00, 1.399207e+01, 0.000000e+00, 0.000000e+00, 1.665983e+04, 0.000000e+00, 0.000000e+00, 1.234467e+01, -5.982487e+00, -5.982487e+00, 4.954979e-02, 0.000000e+00, 0.000000e+00, 
8, 1.480126e+01, 1.348146e+01, 4.954441e-01, 1.532927e+04, 9.847517e-01, -2.325998e+01, 6.844766e+00, 7.663767e-01, 7.500211e+00, 1.849631e+00, 6.589047e-01, 1.238082e+01, 5.849040e+00, 1.297622e+00, 3.132557e+00, 3.925682e+07, 1.449275e-02, 69, 6.740496e-01, 0.000000e+00, 0.000000e+00, 3.889110e+01, 0.000000e+00, 0.000000e+00, 1.471922e+01, 0.000000e+00, 0.000000e+00, 3.771892e+01, 0.000000e+00, 0.000000e+00, 5.182680e+04, 0.000000e+00, 0.000000e+00, 8.712308e+00, -2.477906e+00, -2.477906e+00, 1.772700e-01, 0.000000e+00, 0.000000e+00, 
9, 7.455411e+01, 1.342202e+01, 7.934704e-01, 3.699988e+03, 7.450714e-01, -2.670188e+01, 9.501090e+00, 1.050585e-01, 5.220418e+00, 8.892912e-01, 5.561185e-01, 4.009210e+01, 7.329218e+00, 3.317162e+00, 1.935136e+01, 7.210609e+06, 2.127660e-02, 47, 1.527210e+00, 0.000000e+00, 0.000000e+00, 3.716557e+01, 0.000000e+00, 0.000000e+00, 7.954945e+00, 0.000000e+00, 0.000000e+00, 2.036438e+01, 0.000000e+00, 0.000000e+00, 2.783099e+04, 0.000000e+00, 0.000000e+00, 1.417825e+01, -8.210790e+00, -8.210790e+00, 6.360901e-02, 0.000000e+00, 0.000000e+00, 
