t, STD_obs,t, Mean_age
0.023,0,0.653,0
0.024,0.138764,0.684,0.0159345
0.026,3.47922,0.716,0
0.028,0,0.750,0
0.030,0.222244,0.785,0
0.033,0.56755,0.822,0
0.035,0.431216,0.860,0
0.038,0,0.901,0.00302502
0.041,1.81797,0.943,0
0.044,0.920843,0.987,0
0.047,0.391929,1.033,0.00790815
0.051,0.926433,1.082,0
0.055,1.25974,1.133,0.00240494
0.059,0.770373,1.186,0.0137826
0.064,3.41797,1.242,0.00438817
0.069,2.73113,1.300,0.0041914
0.074,0.411275,1.361,0.00800689
0.080,1.61255,1.425,0.00191196
0.086,2.00975,1.492,0.00730489
0.092,3.51304,1.562,0.00523299
0.099,2.19186,1.635,0.0166611
0.107,3.72371,1.712,0.0190968
0.115,2.82789,1.792,0.0197604
0.124,2.25868,1.876,0.0203262
0.134,3.09566,1.965,0.0485368
0.144,2.11203,2.057,0.0370883
0.155,2.39713,2.153,0.0607288
0.167,2.82301,2.254,0.0640478
0.180,3.38261,2.360,0.120043
0.193,1.56187,2.471,0.15876
0.208,1.33695,2.587,0.308547
0.224,1.37697,2.709,0.5341
0.242,1.27869,2.836,0.976106
0.260,1.19391,2.969,1.27554
0.280,1.39792,3.108,1.3577
0.302,1.58911,3.254,0.703246
0.325,1.42373,3.407,0.381436
0.350,1.5682,3.567,0.237541
0.377,1.34873,3.734,0.167066
0.406,0.902939,3.910,0.126127
0.437,0.877133,4.093,0.0685552
0.470,0.828881,4.285,0.0616666
0.506,0.663093,4.486,0.0327904
0.545,0.35275,4.697,0.02146
0.587,0.531587,4.918,0.0337935
0.632,0.38958,5.148,0.0216951
0.681,0.475757,5.390,0.0151626
0.733,0.28533,5.643,0.0154482
0.790,0.378215,5.908,0.0133721
0.851,0.206367,6.186,0.00748733
0.916,0.182424,6.476,0.00462749
0.986,0.150581,6.780,0.00763451
1.062,0.120765,7.098,0.00767596
1.144,0.103292,7.432,0.0058654
1.232,0.0739954,7.780,0.00350149
1.326,0.0801664,8.146,0.00468226
1.428,0.0850795,8.528,0.00415285
1.538,0.0658392,8.929,0.00335637
1.656,0.048912,9.348,0.00174865
1.784,0.0283881,9.787,0.00222699
1.921,0.0184533,10.246,0.000797671
2.068,0.0195843,10.727,0.00203174
2.227,0.0234909,11.231,0.000970314
2.398,0.0140737,11.758,0.00185361
2.583,0.0098019,12.310,0.000663932
2.781,0.0139569,12.888,0.000845546
2.995,0.00732561,13.493,0.00222098
3.225,0.0130822,14.126,0.000385707
3.473,0.00340158,14.790,0.000552616
3.740,0.00722009,15.484,0.000175945
4.027,0.00251429,16.211,0
4.337,0.00428053,16.972,0
4.670,0.000722729,17.769,0.000919927
5.029,0.00100672,18.603,0
5.416,0.000311621,19.476,0
5.832,0,20.391,0
6.280,0.000806176,21.348,0.00025523
6.763,0,22.350,0.000121893
7.283,0.000231734,23.399,0.000582133
7.843,0,24.498,0
8.445,0.000199835,25.648,0.000106219
9.094,0,26.852,0
