Generation: 0
ID, young_mean_age_well8, young_p2_well8, fraction_old_well8, age_old_well8, fm_well8, 13C_bio, He_acc_rate, 13C_mineral, std_3H, std_3He, std_13C, std_14C, std_4He, std_NO3, std_85Kr, likelihood, Fitness, Rank, 3H_well8_MSE, 3H_well8_R2, 3H_well8_NSE, 3He_well8_MSE, 3He_well8_R2, 3He_well8_NSE, 13C_well8_MSE, 13C_well8_R2, 13C_well8_NSE, 14C_well8_MSE, 14C_well8_R2, 14C_well8_NSE, 4He_well8_MSE, 4He_well8_R2, 4He_well8_NSE, NO3_well8_MSE, NO3_well8_R2, NO3_well8_NSE, 85Kr_well8_MSE, 85Kr_well8_R2, 85Kr_well8_NSE, 
0, 7.735318e+01, 9.638697e+01, 3.318458e-01, 8.346386e+03, 5.607845e-01, -2.478221e+01, 6.222044e+00, 3.820553e-01, 4.784829e+00, 1.806925e+00, 1.342372e+00, 4.590961e+01, 2.114809e+00, 3.072057e+00, 1.732213e+01, 3.363762e+07, 3.571429e-02, 28, 1.280188e+00, 0.000000e+00, 0.000000e+00, 8.920740e+00, 0.000000e+00, 0.000000e+00, 3.885894e+00, 0.000000e+00, 0.000000e+00, 2.153002e-01, 0.000000e+00, 0.000000e+00, 1.734597e+04, 0.000000e+00, 0.000000e+00, 1.017892e+01, -3.747391e+00, -3.747391e+00, 1.675919e-02, 0.000000e+00, 0.000000e+00, 
1, 1.542888e+01, 3.798203e+01, 1.990027e-01, 1.310714e+04, 5.926919e-01, -2.429378e+01, 5.963809e+00, 1.177210e-01, 5.613109e+00, 2.822451e+00, 5.609891e-01, 1.926627e+00, 3.444975e+00, 1.444598e-01, 1.848148e+01, 1.001938e+07, 4.347826e-02, 23, 3.052784e+00, 0.000000e+00, 0.000000e+00, 3.634335e+01, 0.000000e+00, 0.000000e+00, 4.818312e+00, 0.000000e+00, 0.000000e+00, 1.985912e+00, 0.000000e+00, 0.000000e+00, 1.542054e+04, 0.000000e+00, 0.000000e+00, 6.083975e+00, -6.960018e-01, -6.960018e-01, 4.548327e-01, 0.000000e+00, 0.000000e+00, 
2, 6.213554e+01, 7.729790e+01, 8.871970e-01, 1.869881e+04, 1.730647e-01, -2.520807e+01, 4.877719e+00, 1.590463e+00, 6.393702e+00, 4.828751e+00, 3.951391e-01, 1.535157e+01, 8.823221e+00, 1.893537e+00, 1.799868e+01, 4.187377e+07, 3.333333e-02, 30, 1.441394e+00, 0.000000e+00, 0.000000e+00, 4.110297e+01, 0.000000e+00, 0.000000e+00, 5.901397e+00, 0.000000e+00, 0.000000e+00, 2.045633e+01, 0.000000e+00, 0.000000e+00, 8.074436e+04, 0.000000e+00, 0.000000e+00, 1.349763e+01, -7.347690e+00, -7.347690e+00, 4.553239e-02, 0.000000e+00, 0.000000e+00, 
3, 7.602559e+01, 4.810476e+01, 2.729871e-01, 1.895949e+04, 1.223258e-01, -2.353728e+01, 6.232321e+00, 1.437333e+00, 9.246150e+00, 9.284905e-01, 6.363391e-01, 9.191102e+00, 2.037740e+00, 3.168013e+00, 3.607152e+00, 1.263438e+08, 2.857143e-02, 35, 2.376308e+00, 0.000000e+00, 0.000000e+00, 1.846411e+01, 0.000000e+00, 0.000000e+00, 5.911051e+00, 0.000000e+00, 0.000000e+00, 3.690956e+01, 0.000000e+00, 0.000000e+00, 3.239219e+04, 0.000000e+00, 0.000000e+00, 1.147600e+01, -5.034373e+00, -5.034373e+00, 4.466531e-02, 0.000000e+00, 0.000000e+00, 
4, 1.703358e+01, 2.352764e+01, 9.469247e-01, 7.703920e+02, 1.608244e-01, -2.652004e+01, 4.619016e+00, 1.297090e+00, 9.153054e+00, 5.132763e-01, 1.267031e+00, 4.457291e+00, 3.943523e+00, 2.532512e+00, 8.788040e+00, 3.261543e+05, 1.000000e-01, 10, 1.714269e+00, 0.000000e+00, 0.000000e+00, 4.613023e+01, 0.000000e+00, 0.000000e+00, 7.357517e+00, 0.000000e+00, 0.000000e+00, 3.859715e+01, 0.000000e+00, 0.000000e+00, 3.164853e+03, 0.000000e+00, 0.000000e+00, 1.372391e+01, -7.629925e+00, -7.629925e+00, 3.677046e-02, 0.000000e+00, 0.000000e+00, 
5, 3.285185e+01, 2.516280e+01, 9.123905e-01, 1.154021e+04, 1.907092e-01, -2.686113e+01, 4.319003e+00, 1.627807e+00, 7.536293e+00, 1.788351e+00, 1.996143e+00, 2.747655e+00, 5.240248e+00, 1.084640e+00, 1.326965e+01, 3.733066e+07, 3.448276e-02, 29, 1.502796e+00, 0.000000e+00, 0.000000e+00, 4.230986e+01, 0.000000e+00, 0.000000e+00, 6.755353e+00, 0.000000e+00, 0.000000e+00, 1.208982e+01, 0.000000e+00, 0.000000e+00, 4.527907e+04, 0.000000e+00, 0.000000e+00, 1.347819e+01, -7.323667e+00, -7.323667e+00, 4.578926e-02, 0.000000e+00, 0.000000e+00, 
6, 7.147978e+01, 3.343400e+01, 8.893435e-01, 1.311088e+04, 3.414824e-01, -2.679933e+01, 7.667245e+00, 1.606660e+00, 6.990143e+00, 3.412789e+00, 1.817956e+00, 1.633405e+01, 7.527262e+00, 1.559873e+00, 1.620648e+01, 7.029693e+07, 3.030303e-02, 33, 1.257664e+00, 0.000000e+00, 0.000000e+00, 3.526068e+01, 0.000000e+00, 0.000000e+00, 2.460023e+00, 0.000000e+00, 0.000000e+00, 1.828938e+01, 0.000000e+00, 0.000000e+00, 8.925240e+04, 0.000000e+00, 0.000000e+00, 1.394206e+01, -7.906469e+00, -7.906469e+00, 6.213790e-02, 0.000000e+00, 0.000000e+00, 
7, 2.296104e+01, 5.951995e+01, 5.343940e-02, 2.478356e+03, 1.572751e-01, -2.602341e+01, 1.362569e+00, 1.178237e+00, 5.899423e-01, 4.448870e+00, 1.896453e+00, 3.745087e+00, 9.252944e+00, 2.398345e+00, 5.213684e+00, 1.534061e+02, 1.000000e+00, 1, 3.698692e+00, 0.000000e+00, 0.000000e+00, 3.131980e+01, 0.000000e+00, 0.000000e+00, 7.222026e+00, 0.000000e+00, 0.000000e+00, 5.069749e+01, 0.000000e+00, 0.000000e+00, 1.167191e+00, 0.000000e+00, 0.000000e+00, 5.261015e+00, -2.682078e-01, -2.682078e-01, 4.896027e-01, 0.000000e+00, 0.000000e+00, 
8, 6.076606e+01, 1.771488e+01, 5.845852e-01, 9.788916e+03, 8.155490e-01, -2.329573e+01, 5.265699e+00, 1.164500e+00, 7.296683e+00, 1.133925e+00, 6.019266e-01, 3.204566e+01, 5.386371e+00, 1.815878e-01, 1.863721e+01, 1.557187e+07, 4.166667e-02, 24, 2.217390e+00, 0.000000e+00, 0.000000e+00, 2.121793e+01, 0.000000e+00, 0.000000e+00, 1.095815e+01, 0.000000e+00, 0.000000e+00, 2.613239e+01, 0.000000e+00, 0.000000e+00, 3.005675e+04, 0.000000e+00, 0.000000e+00, 1.282860e+01, -6.540667e+00, -6.540667e+00, 5.981792e-02, 0.000000e+00, 0.000000e+00, 
9, 3.801687e+01, 2.136571e+01, 5.226287e-01, 8.319214e+03, 3.071683e-01, -2.428038e+01, 6.451695e+00, 8.866777e-01, 2.697533e+00, 3.518899e+00, 7.324949e-01, 1.151168e+01, 7.594492e+00, 1.364747e+00, 1.370312e+01, 6.776826e+06, 4.761905e-02, 21, 1.326926e+00, 0.000000e+00, 0.000000e+00, 8.177626e+00, 0.000000e+00, 0.000000e+00, 1.980401e+00, 0.000000e+00, 0.000000e+00, 1.480800e+01, 0.000000e+00, 0.000000e+00, 2.795925e+04, 0.000000e+00, 0.000000e+00, 1.014939e+01, -3.719881e+00, -3.719881e+00, 7.920120e-03, 0.000000e+00, 0.000000e+00, 
