t, 3H_Std,t, Well1_Gamma_p1
0.023,0,0.034,0
0.026,4.80186,0.036,0.385987
0.030,2.84302,0.039,0
0.033,6.05972,0.042,0.334603
0.038,5.8301,0.045,1.55768
0.042,9.55884,0.048,1.16024
0.048,20.3387,0.052,1.08025
0.054,9.267,0.056,4.02314
0.060,7.11408,0.060,0.468224
0.068,5.6986,0.064,5.01338
0.077,2.64048,0.069,36.5303
0.086,0.781669,0.074,93.1551
0.097,1.7355,0.080,5.10195
0.109,1.00184,0.085,2.78462
0.123,0.273765,0.092,1.52509
0.139,1.33722,0.099,2.41392
0.156,0.539809,0.106,0.661033
0.176,2.68466,0.114,1.47711
0.198,1.2347,0.122,0.343821
0.223,0.794043,0.131,0.213412
0.251,0.906672,0.141,0.496751
0.282,0.178937,0.151,0.462506
0.318,0.662139,0.163,0.430622
0.358,0.235218,0.175,0.56131
0.403,0.856478,0.187,0.671933
0.454,0.371042,0.201,0.278049
0.511,0.148285,0.216,0.194161
0.576,0.117059,0.232,0.241035
0.648,0.0519802,0.249,0.112209
0.730,0.196195,0.268,0.104474
0.822,0.0512473,0.288,0.291814
0.925,0.136538,0.309,0.181132
1.042,0.0970075,0.332,0.210806
1.173,0.0574348,0.357,0.196274
1.321,0.0892637,0.383,0.365486
1.487,0.11325,0.411,0.544464
1.675,0.216241,0.442,0.316831
1.886,0.102721,0.474,0.29499
2.123,0.115025,0.510,0.192258
2.391,0.059883,0.547,0.179004
2.692,0.0375402,0.588,0.190473
3.031,0.0333395,0.631,0.110839
3.413,0.0148044,0.678,0.0619187
3.843,0.0219129,0.728,0.0960835
4.327,0.00583825,0.782,0.0715678
4.873,0,0.840,0.0999511
5.487,0.00153492,0.902,0.0775506
6.178,0,0.969,0.101086
6.956,0.00121062,1.041,0.0403361
7.833,0,1.118,0.0375554
8.820,0.00095484,1.201,0.0116555
9.931,0,1.290,0
