t, series_0,t, series_1,t, series_2,t, series_3,t, series_4,t, series_5,t, series_6,t, series_7,t, series_8,t, series_9,t, series_10,t, series_11,t, series_12,t, series_13,t, series_14,t, series_15,t, series_16,t, series_17,t, series_18,t, series_19,t, series_20,t, series_21,t, series_22,t, series_23,t, series_24,t, series_25,t, series_26,t, series_27,t, series_28,t, series_29,t, series_30,t, series_31,t, series_32,t, series_33,t, series_34,t, series_35,t, series_36,t, series_37,t, series_38,t, series_39,t, series_40,t, series_41,t, series_42,t, series_43,t, series_44,t, series_45,t, series_46,t, series_47,t, series_48,t, series_49,t, series_50,t, series_51,t, series_52,t, series_53,t, series_54,t, series_55,t, series_56,t, series_57,t, series_58,t, series_59,t, series_60,t, series_61,t, series_62,t, series_63,t, series_64,t, series_65,t, series_66,t, series_67,t, series_68,t, series_69,t, series_70,t, series_71,t, series_72,t, series_73,t, series_74,t, series_75,t, series_76,t, series_77,t, series_78,t, series_79,t, series_80,t, series_81,t, series_82,t, series_83,t, series_84,t, series_85,t, series_86,t, series_87,t, series_88,t, series_89,t, series_90,t, series_91,t, series_92,t, series_93,t, series_94,t, series_95,t, series_96,t, series_97,t, series_98,t, series_99
0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0
0.000,6.04954e-09,0.000,8.32643e-09,0.000,6.5635e-09,0.000,4.99929e-09,0.000,5.55744e-09,0.000,1.39395e-09,0.000,4.90254e-09,0.000,5.66202e-09,0.000,3.92008e-09,0.000,2.53278e-09,0.000,7.11938e-09,0.000,5.99607e-09,0.000,7.13756e-09,0.000,7.07355e-09,0.000,8.27204e-09,0.000,7.23052e-09,0.000,8.4049e-09,0.000,4.02546e-09,0.000,5.90764e-09,0.000,5.55744e-09,0.000,7.13756e-09,0.000,7.85926e-09,0.000,7.07355e-09,0.000,6.66185e-09,0.000,6.66671e-09,0.000,9.20441e-09,0.000,4.53007e-09,0.000,4.94898e-09,0.000,7.15024e-09,0.000,7.93799e-09,0.000,4.20331e-09,0.000,7.63527e-09,0.000,7.07355e-09,0.000,7.27646e-09,0.000,2.69198e-09,0.000,5.70657e-09,0.000,6.38889e-09,0.000,7.07824e-09,0.000,6.91919e-09,0.000,9.46968e-10,0.000,5.01715e-09,0.000,6.93349e-09,0.000,7.26594e-09,0.000,5.70181e-09,0.000,7.07355e-09,0.000,5.02403e-09,0.000,6.44211e-09,0.000,7.30794e-09,0.000,7.13946e-09,0.000,6.71478e-09,0.000,1.93057e-09,0.000,7.10924e-09,0.000,1.77813e-09,0.000,7.32837e-09,0.000,2.0335e-09,0.000,3.85556e-09,0.000,4.18185e-09,0.000,8.35121e-09,0.000,8.67714e-09,0.000,7.02681e-09,0.000,6.83411e-09,0.000,7.30945e-09,0.000,7.06003e-09,0.000,7.64426e-09,0.000,7.30754e-09,0.000,6.11179e-09,0.000,4.09579e-09,0.000,7.62835e-09,0.000,6.94903e-09,0.000,5.56088e-09,0.000,6.86125e-09,0.000,7.27953e-09,0.000,7.08306e-09,0.000,7.48979e-09,0.000,3.00095e-09,0.000,5.26594e-09,0.000,4.967e-09,0.000,6.8911e-09,0.000,7.18719e-09,0.000,4.94627e-09,0.000,7.64426e-09,0.000,4.39697e-09,0.000,7.096e-09,0.000,7.28922e-09,0.000,7.10924e-09,0.000,7.27953e-09,0.000,1.10601e-08,0.000,3.05103e-10,0.000,5.81154e-09,0.000,7.34322e-09,0.000,6.67082e-09,0.000,8.60448e-09,0.000,7.35218e-09,0.000,7.09347e-09,0.000,7.16796e-09,0.000,8.09978e-09,0.000,6.94903e-09,0.000,3.00095e-09,0.000,7.028e-09,0.000,2.21868e-09
0.000,1.22201e-08,0.000,1.68194e-08,0.000,1.32583e-08,0.000,1.00986e-08,0.000,1.1226e-08,0.000,2.81577e-09,0.000,9.90314e-09,0.000,1.14373e-08,0.000,7.91857e-09,0.000,5.11622e-09,0.000,1.43812e-08,0.000,1.21121e-08,0.000,1.44179e-08,0.000,1.42886e-08,0.000,1.67095e-08,0.000,1.46057e-08,0.000,1.69779e-08,0.000,8.13142e-09,0.000,1.19334e-08,0.000,1.1226e-08,0.000,1.44179e-08,0.000,1.58757e-08,0.000,1.42886e-08,0.000,1.34569e-08,0.000,1.34668e-08,0.000,1.85929e-08,0.000,9.15075e-09,0.000,9.99693e-09,0.000,1.44435e-08,0.000,1.60347e-08,0.000,8.49068e-09,0.000,1.54232e-08,0.000,1.42886e-08,0.000,1.46984e-08,0.000,5.43781e-09,0.000,1.15273e-08,0.000,1.29056e-08,0.000,1.4298e-08,0.000,1.39768e-08,0.000,1.91288e-09,0.000,1.01346e-08,0.000,1.40056e-08,0.000,1.46772e-08,0.000,1.15177e-08,0.000,1.42886e-08,0.000,1.01485e-08,0.000,1.30131e-08,0.000,1.4762e-08,0.000,1.44217e-08,0.000,1.35639e-08,0.000,3.89976e-09,0.000,1.43607e-08,0.000,3.59182e-09,0.000,1.48033e-08,0.000,4.10767e-09,0.000,7.78823e-09,0.000,8.44734e-09,0.000,1.68694e-08,0.000,1.75278e-08,0.000,1.41942e-08,0.000,1.38049e-08,0.000,1.47651e-08,0.000,1.42613e-08,0.000,1.54414e-08,0.000,1.47612e-08,0.000,1.23458e-08,0.000,8.27349e-09,0.000,1.54093e-08,0.000,1.4037e-08,0.000,1.1233e-08,0.000,1.38597e-08,0.000,1.47047e-08,0.000,1.43078e-08,0.000,1.51294e-08,0.000,6.06193e-09,0.000,1.06372e-08,0.000,1.00333e-08,0.000,1.392e-08,0.000,1.45181e-08,0.000,9.99147e-09,0.000,1.54414e-08,0.000,8.88188e-09,0.000,1.43339e-08,0.000,1.47242e-08,0.000,1.43607e-08,0.000,1.47047e-08,0.000,2.23414e-08,0.000,6.16309e-10,0.000,1.17393e-08,0.000,1.48333e-08,0.000,1.34751e-08,0.000,1.7381e-08,0.000,1.48514e-08,0.000,1.43288e-08,0.000,1.44793e-08,0.000,1.63616e-08,0.000,1.4037e-08,0.000,6.06193e-09,0.000,1.41966e-08,0.000,4.48173e-09
0.000,1.8514e-08,0.000,2.54822e-08,0.000,2.00869e-08,0.000,1.52998e-08,0.000,1.7008e-08,0.000,4.26604e-09,0.000,1.50037e-08,0.000,1.7328e-08,0.000,1.1997e-08,0.000,7.75133e-09,0.000,2.17882e-08,0.000,1.83504e-08,0.000,2.18438e-08,0.000,2.16479e-08,0.000,2.53157e-08,0.000,2.21283e-08,0.000,2.57224e-08,0.000,1.23195e-08,0.000,1.80797e-08,0.000,1.7008e-08,0.000,2.18438e-08,0.000,2.40525e-08,0.000,2.16479e-08,0.000,2.03879e-08,0.000,2.04028e-08,0.000,2.81692e-08,0.000,1.38638e-08,0.000,1.51458e-08,0.000,2.18826e-08,0.000,2.42934e-08,0.000,1.28638e-08,0.000,2.3367e-08,0.000,2.16479e-08,0.000,2.22689e-08,0.000,8.23855e-09,0.000,1.74644e-08,0.000,1.95526e-08,0.000,2.16622e-08,0.000,2.11755e-08,0.000,2.8981e-09,0.000,1.53545e-08,0.000,2.12192e-08,0.000,2.22367e-08,0.000,1.74498e-08,0.000,2.16479e-08,0.000,1.53755e-08,0.000,1.97154e-08,0.000,2.23652e-08,0.000,2.18496e-08,0.000,2.05499e-08,0.000,5.90833e-09,0.000,2.17571e-08,0.000,5.44178e-09,0.000,2.24277e-08,0.000,6.22332e-09,0.000,1.17995e-08,0.000,1.27981e-08,0.000,2.55581e-08,0.000,2.65555e-08,0.000,2.15049e-08,0.000,2.09151e-08,0.000,2.23698e-08,0.000,2.16065e-08,0.000,2.33945e-08,0.000,2.2364e-08,0.000,1.87045e-08,0.000,1.25347e-08,0.000,2.33458e-08,0.000,2.12668e-08,0.000,1.70185e-08,0.000,2.09982e-08,0.000,2.22783e-08,0.000,2.1677e-08,0.000,2.29217e-08,0.000,9.18412e-09,0.000,1.61159e-08,0.000,1.5201e-08,0.000,2.10895e-08,0.000,2.19957e-08,0.000,1.51376e-08,0.000,2.33945e-08,0.000,1.34565e-08,0.000,2.17166e-08,0.000,2.23079e-08,0.000,2.17571e-08,0.000,2.22783e-08,0.000,3.38483e-08,0.000,9.33738e-10,0.000,1.77856e-08,0.000,2.24732e-08,0.000,2.04154e-08,0.000,2.63331e-08,0.000,2.25006e-08,0.000,2.17089e-08,0.000,2.19368e-08,0.000,2.47886e-08,0.000,2.12668e-08,0.000,9.18412e-09,0.000,2.15085e-08,0.000,6.79004e-09
0.000,2.49339e-08,0.000,3.43183e-08,0.000,2.70522e-08,0.000,2.06051e-08,0.000,2.29056e-08,0.000,5.74531e-09,0.000,2.02064e-08,0.000,2.33366e-08,0.000,1.6157e-08,0.000,1.04391e-08,0.000,2.93433e-08,0.000,2.47135e-08,0.000,2.94182e-08,0.000,2.91544e-08,0.000,3.40941e-08,0.000,2.98014e-08,0.000,3.46417e-08,0.000,1.65914e-08,0.000,2.4349e-08,0.000,2.29056e-08,0.000,2.94182e-08,0.000,3.23928e-08,0.000,2.91544e-08,0.000,2.74575e-08,0.000,2.74776e-08,0.000,3.7937e-08,0.000,1.86712e-08,0.000,2.03977e-08,0.000,2.94705e-08,0.000,3.27173e-08,0.000,1.73244e-08,0.000,3.14696e-08,0.000,2.91544e-08,0.000,2.99907e-08,0.000,1.10953e-08,0.000,2.35203e-08,0.000,2.63325e-08,0.000,2.91737e-08,0.000,2.85182e-08,0.000,3.90303e-09,0.000,2.06787e-08,0.000,2.85771e-08,0.000,2.99474e-08,0.000,2.35006e-08,0.000,2.91544e-08,0.000,2.07071e-08,0.000,2.65519e-08,0.000,3.01205e-08,0.000,2.9426e-08,0.000,2.76757e-08,0.000,7.95707e-09,0.000,2.93015e-08,0.000,7.32874e-09,0.000,3.02047e-08,0.000,8.38129e-09,0.000,1.58911e-08,0.000,1.7236e-08,0.000,3.44204e-08,0.000,3.57638e-08,0.000,2.89618e-08,0.000,2.81675e-08,0.000,3.01267e-08,0.000,2.90987e-08,0.000,3.15066e-08,0.000,3.01188e-08,0.000,2.51904e-08,0.000,1.68812e-08,0.000,3.14411e-08,0.000,2.86412e-08,0.000,2.29198e-08,0.000,2.82794e-08,0.000,3.00034e-08,0.000,2.91936e-08,0.000,3.087e-08,0.000,1.23688e-08,0.000,2.17041e-08,0.000,2.0472e-08,0.000,2.84024e-08,0.000,2.96228e-08,0.000,2.03866e-08,0.000,3.15066e-08,0.000,1.81226e-08,0.000,2.92469e-08,0.000,3.00433e-08,0.000,2.93015e-08,0.000,3.00034e-08,0.000,4.55854e-08,0.000,1.25752e-09,0.000,2.39529e-08,0.000,3.02659e-08,0.000,2.74945e-08,0.000,3.54643e-08,0.000,3.03028e-08,0.000,2.92365e-08,0.000,2.95435e-08,0.000,3.33841e-08,0.000,2.86412e-08,0.000,1.23688e-08,0.000,2.89667e-08,0.000,9.14452e-09
0.000,3.14821e-08,0.000,4.33311e-08,0.000,3.41567e-08,0.000,2.60165e-08,0.000,2.89211e-08,0.000,7.25416e-09,0.000,2.5513e-08,0.000,2.94654e-08,0.000,2.04003e-08,0.000,1.31807e-08,0.000,3.70495e-08,0.000,3.12038e-08,0.000,3.71442e-08,0.000,3.68111e-08,0.000,4.3048e-08,0.000,3.76279e-08,0.000,4.37394e-08,0.000,2.09486e-08,0.000,3.07436e-08,0.000,2.89211e-08,0.000,3.71442e-08,0.000,4.08999e-08,0.000,3.68111e-08,0.000,3.46685e-08,0.000,3.46938e-08,0.000,4.79001e-08,0.000,2.35747e-08,0.000,2.57547e-08,0.000,3.72102e-08,0.000,4.13096e-08,0.000,2.18742e-08,0.000,3.97342e-08,0.000,3.68111e-08,0.000,3.7867e-08,0.000,1.40092e-08,0.000,2.96972e-08,0.000,3.3248e-08,0.000,3.68354e-08,0.000,3.60077e-08,0.000,4.92806e-09,0.000,2.61095e-08,0.000,3.60821e-08,0.000,3.78123e-08,0.000,2.96724e-08,0.000,3.68111e-08,0.000,2.61453e-08,0.000,3.3525e-08,0.000,3.80308e-08,0.000,3.7154e-08,0.000,3.4944e-08,0.000,1.00468e-08,0.000,3.69967e-08,0.000,9.25344e-09,0.000,3.81371e-08,0.000,1.05824e-08,0.000,2.00645e-08,0.000,2.17625e-08,0.000,4.346e-08,0.000,4.51562e-08,0.000,3.65678e-08,0.000,3.5565e-08,0.000,3.80387e-08,0.000,3.67407e-08,0.000,3.9781e-08,0.000,3.80287e-08,0.000,3.1806e-08,0.000,2.13146e-08,0.000,3.96983e-08,0.000,3.6163e-08,0.000,2.89391e-08,0.000,3.57062e-08,0.000,3.7883e-08,0.000,3.68605e-08,0.000,3.89772e-08,0.000,1.56171e-08,0.000,2.74041e-08,0.000,2.58485e-08,0.000,3.58616e-08,0.000,3.74024e-08,0.000,2.57406e-08,0.000,3.9781e-08,0.000,2.2882e-08,0.000,3.69279e-08,0.000,3.79334e-08,0.000,3.69967e-08,0.000,3.7883e-08,0.000,5.75572e-08,0.000,1.58777e-09,0.000,3.02435e-08,0.000,3.82144e-08,0.000,3.47152e-08,0.000,4.4778e-08,0.000,3.82611e-08,0.000,3.69147e-08,0.000,3.73023e-08,0.000,4.21516e-08,0.000,3.6163e-08,0.000,1.56171e-08,0.000,3.6574e-08,0.000,1.15461e-08
0.000,3.81613e-08,0.000,5.25242e-08,0.000,4.14033e-08,0.000,3.15361e-08,0.000,3.5057e-08,0.000,8.79319e-09,0.000,3.09258e-08,0.000,3.57167e-08,0.000,2.47283e-08,0.000,1.59771e-08,0.000,4.49099e-08,0.000,3.7824e-08,0.000,4.50246e-08,0.000,4.46208e-08,0.000,5.2181e-08,0.000,4.5611e-08,0.000,5.30191e-08,0.000,2.53931e-08,0.000,3.72661e-08,0.000,3.5057e-08,0.000,4.50246e-08,0.000,4.95772e-08,0.000,4.46208e-08,0.000,4.20237e-08,0.000,4.20544e-08,0.000,5.80625e-08,0.000,2.85762e-08,0.000,3.12187e-08,0.000,4.51046e-08,0.000,5.00738e-08,0.000,2.6515e-08,0.000,4.81642e-08,0.000,4.46208e-08,0.000,4.59008e-08,0.000,1.69814e-08,0.000,3.59977e-08,0.000,4.03019e-08,0.000,4.46504e-08,0.000,4.36471e-08,0.000,5.97359e-09,0.000,3.16488e-08,0.000,4.37373e-08,0.000,4.58344e-08,0.000,3.59677e-08,0.000,4.46208e-08,0.000,3.16922e-08,0.000,4.06376e-08,0.000,4.60994e-08,0.000,4.50366e-08,0.000,4.23576e-08,0.000,1.21783e-08,0.000,4.48459e-08,0.000,1.12166e-08,0.000,4.62282e-08,0.000,1.28276e-08,0.000,2.43213e-08,0.000,2.63796e-08,0.000,5.26805e-08,0.000,5.47365e-08,0.000,4.4326e-08,0.000,4.31104e-08,0.000,4.61089e-08,0.000,4.45355e-08,0.000,4.82209e-08,0.000,4.60968e-08,0.000,3.85539e-08,0.000,2.58367e-08,0.000,4.81206e-08,0.000,4.38353e-08,0.000,3.50787e-08,0.000,4.32816e-08,0.000,4.59202e-08,0.000,4.46808e-08,0.000,4.72465e-08,0.000,1.89304e-08,0.000,3.32182e-08,0.000,3.13325e-08,0.000,4.34699e-08,0.000,4.53377e-08,0.000,3.12017e-08,0.000,4.82209e-08,0.000,2.77366e-08,0.000,4.47624e-08,0.000,4.59813e-08,0.000,4.48459e-08,0.000,4.59202e-08,0.000,6.97684e-08,0.000,1.92463e-09,0.000,3.66599e-08,0.000,4.63219e-08,0.000,4.20803e-08,0.000,5.42781e-08,0.000,4.63785e-08,0.000,4.47465e-08,0.000,4.52163e-08,0.000,5.10944e-08,0.000,4.38353e-08,0.000,1.89304e-08,0.000,4.43335e-08,0.000,1.39957e-08
0.000,4.4974e-08,0.000,6.19011e-08,0.000,4.87949e-08,0.000,3.71661e-08,0.000,4.13156e-08,0.000,1.0363e-08,0.000,3.64469e-08,0.000,4.20931e-08,0.000,2.9143e-08,0.000,1.88294e-08,0.000,5.29275e-08,0.000,4.45765e-08,0.000,5.30627e-08,0.000,5.25868e-08,0.000,6.14967e-08,0.000,5.37538e-08,0.000,6.24844e-08,0.000,2.99264e-08,0.000,4.39191e-08,0.000,4.13156e-08,0.000,5.30627e-08,0.000,5.8428e-08,0.000,5.25868e-08,0.000,4.95261e-08,0.000,4.95622e-08,0.000,6.84282e-08,0.000,3.36778e-08,0.000,3.67921e-08,0.000,5.31569e-08,0.000,5.90132e-08,0.000,3.12486e-08,0.000,5.67627e-08,0.000,5.25868e-08,0.000,5.40953e-08,0.000,2.0013e-08,0.000,4.24243e-08,0.000,4.74968e-08,0.000,5.26216e-08,0.000,5.14392e-08,0.000,7.04003e-09,0.000,3.72989e-08,0.000,5.15455e-08,0.000,5.40171e-08,0.000,4.23889e-08,0.000,5.25868e-08,0.000,3.73501e-08,0.000,4.78925e-08,0.000,5.43293e-08,0.000,5.30768e-08,0.000,4.99196e-08,0.000,1.43524e-08,0.000,5.28521e-08,0.000,1.32191e-08,0.000,5.44812e-08,0.000,1.51176e-08,0.000,2.86633e-08,0.000,3.10891e-08,0.000,6.20853e-08,0.000,6.45083e-08,0.000,5.22393e-08,0.000,5.08067e-08,0.000,5.43405e-08,0.000,5.24863e-08,0.000,5.68296e-08,0.000,5.43263e-08,0.000,4.54368e-08,0.000,3.04492e-08,0.000,5.67113e-08,0.000,5.1661e-08,0.000,4.13412e-08,0.000,5.10084e-08,0.000,5.41181e-08,0.000,5.26575e-08,0.000,5.56812e-08,0.000,2.23099e-08,0.000,3.91485e-08,0.000,3.69261e-08,0.000,5.12304e-08,0.000,5.34316e-08,0.000,3.6772e-08,0.000,5.68296e-08,0.000,3.26883e-08,0.000,5.27537e-08,0.000,5.41901e-08,0.000,5.28521e-08,0.000,5.41181e-08,0.000,8.22239e-08,0.000,2.26822e-09,0.000,4.32046e-08,0.000,5.45916e-08,0.000,4.95927e-08,0.000,6.39681e-08,0.000,5.46582e-08,0.000,5.27349e-08,0.000,5.32886e-08,0.000,6.02161e-08,0.000,5.1661e-08,0.000,2.23099e-08,0.000,5.22481e-08,0.000,1.64943e-08
0.000,5.19231e-08,0.000,7.14655e-08,0.000,5.63343e-08,0.000,4.29088e-08,0.000,4.76993e-08,0.000,1.19642e-08,0.000,4.20784e-08,0.000,4.85969e-08,0.000,3.36459e-08,0.000,2.17388e-08,0.000,6.11054e-08,0.000,5.14641e-08,0.000,6.12615e-08,0.000,6.07121e-08,0.000,7.09986e-08,0.000,6.20594e-08,0.000,7.2139e-08,0.000,3.45504e-08,0.000,5.07051e-08,0.000,4.76993e-08,0.000,6.12615e-08,0.000,6.74558e-08,0.000,6.07121e-08,0.000,5.71784e-08,0.000,5.72202e-08,0.000,7.90012e-08,0.000,3.88815e-08,0.000,4.24769e-08,0.000,6.13703e-08,0.000,6.81315e-08,0.000,3.60769e-08,0.000,6.55332e-08,0.000,6.07121e-08,0.000,6.24536e-08,0.000,2.31052e-08,0.000,4.89793e-08,0.000,5.48357e-08,0.000,6.07523e-08,0.000,5.93872e-08,0.000,8.1278e-09,0.000,4.3062e-08,0.000,5.95099e-08,0.000,6.23634e-08,0.000,4.89384e-08,0.000,6.07121e-08,0.000,4.31211e-08,0.000,5.52924e-08,0.000,6.27238e-08,0.000,6.12777e-08,0.000,5.76327e-08,0.000,1.65701e-08,0.000,6.10183e-08,0.000,1.52616e-08,0.000,6.28992e-08,0.000,1.74535e-08,0.000,3.30921e-08,0.000,3.58927e-08,0.000,7.16782e-08,0.000,7.44756e-08,0.000,6.03109e-08,0.000,5.86569e-08,0.000,6.27368e-08,0.000,6.0596e-08,0.000,6.56105e-08,0.000,6.27204e-08,0.000,5.24573e-08,0.000,3.5154e-08,0.000,6.54739e-08,0.000,5.96433e-08,0.000,4.77289e-08,0.000,5.88899e-08,0.000,6.248e-08,0.000,6.07937e-08,0.000,6.42846e-08,0.000,2.57571e-08,0.000,4.51974e-08,0.000,4.26316e-08,0.000,5.91461e-08,0.000,6.16874e-08,0.000,4.24537e-08,0.000,6.56105e-08,0.000,3.77391e-08,0.000,6.09048e-08,0.000,6.25632e-08,0.000,6.10183e-08,0.000,6.248e-08,0.000,9.49284e-08,0.000,2.61869e-09,0.000,4.98803e-08,0.000,6.30267e-08,0.000,5.72554e-08,0.000,7.3852e-08,0.000,6.31036e-08,0.000,6.0883e-08,0.000,6.15224e-08,0.000,6.95202e-08,0.000,5.96433e-08,0.000,2.57571e-08,0.000,6.03211e-08,0.000,1.90428e-08
0.000,5.90111e-08,0.000,8.12213e-08,0.000,6.40245e-08,0.000,4.87662e-08,0.000,5.42108e-08,0.000,1.35974e-08,0.000,4.78225e-08,0.000,5.52309e-08,0.000,3.82389e-08,0.000,2.47064e-08,0.000,6.94469e-08,0.000,5.84895e-08,0.000,6.96243e-08,0.000,6.89999e-08,0.000,8.06906e-08,0.000,7.05311e-08,0.000,8.19867e-08,0.000,3.92668e-08,0.000,5.76269e-08,0.000,5.42108e-08,0.000,6.96243e-08,0.000,7.66642e-08,0.000,6.89999e-08,0.000,6.49839e-08,0.000,6.50313e-08,0.000,8.97856e-08,0.000,4.41892e-08,0.000,4.82754e-08,0.000,6.9748e-08,0.000,7.74321e-08,0.000,4.10017e-08,0.000,7.44792e-08,0.000,6.89999e-08,0.000,7.09792e-08,0.000,2.62593e-08,0.000,5.56655e-08,0.000,6.23213e-08,0.000,6.90456e-08,0.000,6.74941e-08,0.000,9.23732e-09,0.000,4.89404e-08,0.000,6.76336e-08,0.000,7.08766e-08,0.000,5.5619e-08,0.000,6.89999e-08,0.000,4.90076e-08,0.000,6.28404e-08,0.000,7.12862e-08,0.000,6.96428e-08,0.000,6.55002e-08,0.000,1.8832e-08,0.000,6.9348e-08,0.000,1.7345e-08,0.000,7.14855e-08,0.000,1.9836e-08,0.000,3.76095e-08,0.000,4.07924e-08,0.000,8.1463e-08,0.000,8.46423e-08,0.000,6.85439e-08,0.000,6.66642e-08,0.000,7.13009e-08,0.000,6.8868e-08,0.000,7.45669e-08,0.000,7.12823e-08,0.000,5.96182e-08,0.000,3.99529e-08,0.000,7.44118e-08,0.000,6.77852e-08,0.000,5.42444e-08,0.000,6.69289e-08,0.000,7.10091e-08,0.000,6.90927e-08,0.000,7.30601e-08,0.000,2.92732e-08,0.000,5.13672e-08,0.000,4.84513e-08,0.000,6.72201e-08,0.000,7.01084e-08,0.000,4.82491e-08,0.000,7.45669e-08,0.000,4.28908e-08,0.000,6.92189e-08,0.000,7.11036e-08,0.000,6.9348e-08,0.000,7.10091e-08,0.000,1.07887e-07,0.000,2.97617e-09,0.000,5.66894e-08,0.000,7.16304e-08,0.000,6.50713e-08,0.000,8.39335e-08,0.000,7.17178e-08,0.000,6.91942e-08,0.000,6.99208e-08,0.000,7.90104e-08,0.000,6.77852e-08,0.000,2.92732e-08,0.000,6.85555e-08,0.000,2.16424e-08
