sample_no, 3H_Std, Well1_Gamma_p1, log_posterior, log_posterior_transformed, stuck_counter, perturbation_coeff_0, perturbation_coeff_1, 
1, 1.379343e+00, 1.148990e+00, -5.750177e+00, -5.750177e+00, 0.000000, 3.198465e-01, 2.302585e-01, 
2, 1.379343e+00, 1.148990e+00, -5.750177e+00, -6.231786e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
3, 1.379343e+00, 1.148990e+00, -5.750177e+00, -8.790555e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
4, 1.809536e+00, 1.074549e+00, -5.282406e+00, -5.282406e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
5, 2.271360e+00, 8.853261e-01, -5.144207e+00, -5.144207e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
6, 1.514917e+00, 9.817393e-01, -5.447674e+00, -5.447674e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
7, 1.514917e+00, 9.817393e-01, -5.447674e+00, -5.720528e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
8, 2.506417e+00, 9.675906e-01, -5.232815e+00, -5.232815e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
9, 2.528808e+00, 9.662500e-01, -5.237750e+00, -5.237750e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
10, 2.140520e+00, 7.197026e-01, -5.056433e+00, -5.056433e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
11, 1.982952e+00, 5.170494e-01, -5.005568e+00, -5.005568e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
12, 2.323789e+00, 6.313881e-01, -5.045480e+00, -5.045480e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
13, 2.104143e+00, 7.616408e-01, -5.073008e+00, -5.073008e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
14, 1.553725e+00, 8.154507e-01, -5.316758e+00, -5.316758e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
15, 1.667890e+00, 9.463145e-01, -5.286284e+00, -5.286284e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
16, 2.106606e+00, 6.872181e-01, -5.042980e+00, -5.042980e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
17, 1.542853e+00, 6.388154e-01, -5.254390e+00, -5.254390e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
18, 1.542853e+00, 6.388154e-01, -5.254390e+00, -6.897706e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
19, 1.671336e+00, 5.953002e-01, -5.130851e+00, -5.130851e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
20, 2.110499e+00, 5.815578e-01, -5.011077e+00, -5.011077e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
21, 1.857681e+00, 6.394846e-01, -5.057094e+00, -5.057094e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
22, 1.680601e+00, 5.714701e-01, -5.118903e+00, -5.118903e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
23, 2.110081e+00, 5.182180e-01, -5.000510e+00, -5.000510e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
24, 2.152138e+00, 7.271197e-01, -5.059972e+00, -5.059972e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
25, 2.152138e+00, 7.271197e-01, -5.059972e+00, -5.205241e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
26, 1.959505e+00, 9.079130e-01, -5.152753e+00, -5.152753e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
27, 3.004638e+00, 1.243308e+00, -5.541085e+00, -5.541085e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
28, 2.818172e+00, 1.052628e+00, -5.370354e+00, -5.370354e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
29, 1.898433e+00, 8.559541e-01, -5.137896e+00, -5.137896e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
30, 1.938012e+00, 8.468216e-01, -5.125353e+00, -5.125353e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
31, 2.193476e+00, 7.756475e-01, -5.083442e+00, -5.083442e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
32, 1.718596e+00, 8.714531e-01, -5.215082e+00, -5.215082e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
33, 1.587119e+00, 8.860851e-01, -5.319520e+00, -5.319520e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
34, 1.668108e+00, 7.415666e-01, -5.185047e+00, -5.185047e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
35, 2.081457e+00, 6.927122e-01, -5.044969e+00, -5.044969e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
36, 1.914292e+00, 7.570938e-01, -5.088096e+00, -5.088096e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
37, 1.723794e+00, 7.580925e-01, -5.157942e+00, -5.157942e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
38, 2.077248e+00, 8.291203e-01, -5.104024e+00, -5.104024e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
39, 2.636278e+00, 9.326834e-01, -5.249647e+00, -5.249647e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
40, 2.080973e+00, 6.688820e-01, -5.036345e+00, -5.036345e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
41, 2.043066e+00, 4.698385e-01, -4.998653e+00, -4.998653e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
42, 2.953175e+00, 4.149328e-01, -5.209359e+00, -5.209359e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
43, 3.016002e+00, 3.231977e-01, -5.274218e+00, -5.274218e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
44, 2.098470e+00, 3.600362e-01, -5.014682e+00, -5.014682e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
45, 2.142007e+00, 4.322140e-01, -5.001793e+00, -5.001793e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
46, 2.308229e+00, 4.217192e-01, -5.022526e+00, -5.022526e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
47, 2.230113e+00, 4.326315e-01, -5.009587e+00, -5.009587e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
48, 2.155311e+00, 4.484921e-01, -5.001094e+00, -5.001094e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
49, 2.499515e+00, 3.785815e-01, -5.075045e+00, -5.075045e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
50, 2.499515e+00, 3.785815e-01, -5.075045e+00, -5.243067e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
51, 2.069653e+00, 4.462779e-01, -4.998832e+00, -4.998832e+00, 0.000000, 2.398849e-01, 1.726939e-01, 
52, 1.788612e+00, 3.803829e-01, -5.055259e+00, -5.055259e+00, 0.000000, 3.198465e-01, 2.302585e-01, 
53, 2.729663e+00, 3.434545e-01, -5.159155e+00, -5.159155e+00, 0.000000, 3.198465e-01, 2.302585e-01, 
54, 3.758265e+00, 3.237903e-01, -5.570455e+00, -5.570455e+00, 0.000000, 3.198465e-01, 2.302585e-01, 
55, 1.348634e+00, 2.820168e-01, -5.438709e+00, -5.438709e+00, 0.000000, 3.198465e-01, 2.302585e-01, 
56, 1.348634e+00, 2.820168e-01, -5.438709e+00, -5.698695e+00, 0.000000, 3.198465e-01, 2.302585e-01, 
57, 3.115331e+00, 4.493220e-01, -5.262946e+00, -5.262946e+00, 0.000000, 3.198465e-01, 2.302585e-01, 
58, 4.233896e+00, 4.634606e-01, -5.703530e+00, -5.703530e+00, 0.000000, 3.198465e-01, 2.302585e-01, 
59, 3.237373e+00, 5.694747e-01, -5.314793e+00, -5.314793e+00, 0.000000, 3.198465e-01, 2.302585e-01, 
60, 3.931062e+00, 5.380270e-01, -5.584484e+00, -5.584484e+00, 0.000000, 3.198465e-01, 2.302585e-01, 
61, 3.931062e+00, 5.380270e-01, -5.584484e+00, -6.004828e+00, 0.000000, 3.198465e-01, 2.302585e-01, 
62, 3.876361e+00, 5.454351e-01, -5.563582e+00, -5.563582e+00, 0.000000, 3.198465e-01, 2.302585e-01, 
