t, STD_obs,t, Mean_age
0.030,0,0.236,0
0.033,3.98642,0.248,0.0304307
0.035,0,0.261,0
0.038,0.21375,0.274,0.00918492
0.041,0,0.288,0
0.044,0.733512,0.303,0
0.048,1.5966,0.318,0
0.052,4.93991,0.334,0.00753085
0.056,5.50811,0.351,0.00716616
0.060,4.29199,0.369,0
0.065,0.725071,0.388,0
0.070,1.22738,0.408,0
0.076,3.75373,0.429,0
0.082,2.8808,0.450,0
0.089,2.17145,0.473,0.0106407
0.096,2.16467,0.497,0
0.103,1.34192,0.523,0
0.112,2.41276,0.549,0
0.120,2.41085,0.577,0.0218111
0.130,2.17029,0.607,0.00830195
0.140,2.42851,0.637,0.00789991
0.152,2.32471,0.670,0.00375867
0.164,1.60495,0.704,0
0.177,2.48375,0.740,0.0170172
0.191,1.5565,0.777,0
0.206,1.90112,0.817,0.0246543
0.222,2.14974,0.859,0.0117302
0.240,1.46789,0.902,0.00558107
0.259,1.1393,0.948,0.0212432
0.280,1.46921,0.996,0.00758041
0.302,1.46883,1.047,0.00480888
0.326,1.06038,1.100,0.006864
0.352,0.875603,1.157,0.021772
0.380,1.27874,1.215,0.00207176
0.410,1.18044,1.277,0.0177429
0.443,0.644239,1.342,0.0356433
0.478,0.767206,1.411,0.0267768
0.516,0.511642,1.482,0.00849335
0.558,0.476825,1.558,0.0113149
0.602,0.449781,1.637,0.012305
0.650,0.464286,1.720,0.0483002
0.702,0.434687,1.808,0.0459612
0.757,0.391857,1.900,0.054338
0.818,0.257257,1.997,0.074407
0.883,0.245669,2.098,0.0540028
0.953,0.196751,2.205,0.117621
1.029,0.115681,2.317,0.121704
1.111,0.0968735,2.435,0.135457
1.200,0.115558,2.559,0.251891
1.295,0.127182,2.689,0.439125
1.398,0.08281,2.826,0.859774
1.510,0.082103,2.970,1.75412
1.630,0.0690423,3.121,0.975366
1.760,0.0463401,3.280,0.468288
1.900,0.0171687,3.447,0.304622
2.051,0.0238534,3.622,0.189771
2.214,0.0147292,3.807,0.115757
2.391,0.0115963,4.000,0.0742735
2.581,0.00947728,4.204,0.0598955
2.787,0.00994861,4.418,0.0917619
3.009,0.00975679,4.643,0.046642
3.248,0.00652678,4.879,0.0221916
3.507,0.0018601,5.127,0.0279922
3.786,0.00301506,5.388,0.0289732
4.088,0.0015958,5.662,0.0142297
4.413,0.00184761,5.951,0.0114249
4.765,0.000342264,6.253,0.00805307
5.144,0.00126807,6.572,0.0122609
5.554,0.00176179,6.906,0.00692739
5.996,0.000543944,7.257,0.00381637
6.474,0.00050382,7.627,0.00264113
6.990,0,8.015,0.0100529
7.546,0,8.423,0.0029894
8.147,0,8.852,0.00654266
8.796,0.000185408,9.302,0.00189482
9.497,0.000343463,9.775,0
10.253,0.000477191,10.273,0.00196084
11.069,0,10.796,0
11.951,0.000272925,11.345,0
12.903,0,11.922,0.00190074
13.930,0.000234145,12.529,0.00160773
15.040,0,13.167,0
