sample_no, STD_obs, Mean_age, log_posterior, log_posterior_transformed, stuck_counter, perturbation_coeff_0, perturbation_coeff_1, 
8, 1.000000e-01, 3.750409e+00, -1.520577e+01, -5.970862e+01, 1.000000, 2.302585e-01, 1.956012e-01, 
9, 1.199771e-01, 3.804227e+00, -1.231037e+01, -1.231037e+01, 0.000000, 2.302585e-01, 1.956012e-01, 
10, 1.272668e-01, 3.569581e+00, -6.859608e+00, -6.859608e+00, 0.000000, 2.302585e-01, 1.956012e-01, 
11, 6.383057e-02, 2.735187e+00, -7.882762e+00, -7.882762e+00, 0.000000, 2.302585e-01, 1.956012e-01, 
12, 1.000000e-01, 3.750409e+00, -1.520577e+01, -2.654238e+01, 1.000000, 2.302585e-01, 1.956012e-01, 
13, 1.089645e-01, 3.118081e+00, -2.065545e+00, -2.065545e+00, 0.000000, 2.302585e-01, 1.956012e-01, 
14, 1.000000e-01, 3.750409e+00, -1.520577e+01, -1.755181e+01, 1.000000, 2.302585e-01, 1.956012e-01, 
15, 1.000000e-01, 3.750409e+00, -1.520577e+01, -1.989897e+01, 1.000000, 2.302585e-01, 1.956012e-01, 
16, 9.538748e-02, 2.819127e+00, -2.978853e+00, -2.978853e+00, 4.000000, 3.070113e-01, 2.608015e-01, 
17, 1.534955e-01, 3.498147e+00, -4.589177e+00, -4.589177e+00, 11.000000, 3.070113e-01, 2.608015e-01, 
18, 1.577919e-01, 3.018203e+00, -1.905427e+00, -1.905427e+00, 3.000000, 3.070113e-01, 2.608015e-01, 
19, 7.182839e-02, 2.803580e+00, -4.306783e+00, -4.306783e+00, 2.000000, 3.070113e-01, 2.608015e-01, 
20, 1.000000e-01, 3.750409e+00, -1.520577e+01, -2.977057e+01, 10.000000, 3.070113e-01, 2.608015e-01, 
21, 1.089645e-01, 3.118081e+00, -2.065545e+00, -3.611189e+01, 3.000000, 3.070113e-01, 2.608015e-01, 
22, 1.000000e-01, 3.750409e+00, -1.520577e+01, -1.313381e+02, 1.000000, 3.070113e-01, 2.608015e-01, 
23, 1.000000e-01, 3.750409e+00, -1.520577e+01, -2.002104e+01, 1.000000, 3.070113e-01, 2.608015e-01, 
24, 9.538748e-02, 2.819127e+00, -2.978853e+00, -9.250630e+00, 4.000000, 3.070113e-01, 2.608015e-01, 
25, 1.940829e-01, 3.723388e+00, -5.326802e+00, -5.326802e+00, 11.000000, 3.070113e-01, 2.608015e-01, 
26, 1.577919e-01, 3.018203e+00, -1.905427e+00, -2.370245e+00, 3.000000, 3.070113e-01, 2.608015e-01, 
27, 7.182839e-02, 2.803580e+00, -4.306783e+00, -5.954454e+00, 2.000000, 3.070113e-01, 2.608015e-01, 
28, 1.079935e-01, 2.958285e+00, -1.787294e+00, -1.787294e+00, 10.000000, 3.070113e-01, 2.608015e-01, 
29, 1.089645e-01, 3.118081e+00, -2.065545e+00, -6.090446e+00, 3.000000, 3.070113e-01, 2.608015e-01, 
30, 1.212020e-01, 3.195925e+00, -2.505767e+00, -2.505767e+00, 1.000000, 3.070113e-01, 2.608015e-01, 
31, 1.000000e-01, 3.750409e+00, -1.520577e+01, -1.377089e+02, 1.000000, 3.070113e-01, 2.608015e-01, 
32, 9.538748e-02, 2.819127e+00, -2.978853e+00, -1.386934e+01, 4.000000, 3.070113e-01, 2.608015e-01, 
33, 2.391868e-01, 3.550466e+00, -3.506761e+00, -3.506761e+00, 11.000000, 3.070113e-01, 2.608015e-01, 
34, 1.577919e-01, 3.018203e+00, -1.905427e+00, -4.883850e+00, 3.000000, 3.070113e-01, 2.608015e-01, 
35, 7.182839e-02, 2.803580e+00, -4.306783e+00, -1.995307e+02, 2.000000, 3.070113e-01, 2.608015e-01, 
36, 1.070106e-01, 2.868096e+00, -2.270703e+00, -2.270703e+00, 10.000000, 3.070113e-01, 2.608015e-01, 
37, 1.431748e-01, 3.379129e+00, -3.718484e+00, -3.718484e+00, 3.000000, 3.070113e-01, 2.608015e-01, 
38, 1.225431e-01, 3.102937e+00, -1.970801e+00, -1.970801e+00, 1.000000, 3.070113e-01, 2.608015e-01, 
39, 1.000000e-01, 3.750409e+00, -1.520577e+01, -2.593937e+01, 1.000000, 3.070113e-01, 2.608015e-01, 
40, 1.850878e-01, 2.686821e+00, -3.131245e+00, -3.131245e+00, 4.000000, 3.070113e-01, 2.608015e-01, 
41, 2.839792e-01, 3.662827e+00, -3.646598e+00, -3.646598e+00, 11.000000, 3.070113e-01, 2.608015e-01, 
42, 1.577919e-01, 3.018203e+00, -1.905427e+00, -7.648112e+00, 3.000000, 3.070113e-01, 2.608015e-01, 
43, 6.201633e-02, 2.895164e+00, -2.650027e+00, -2.650027e+00, 2.000000, 3.070113e-01, 2.608015e-01, 
44, 1.070106e-01, 2.868096e+00, -2.270703e+00, -4.771368e+00, 10.000000, 3.070113e-01, 2.608015e-01, 
45, 1.431748e-01, 3.379129e+00, -3.718484e+00, -1.448544e+01, 3.000000, 3.070113e-01, 2.608015e-01, 
46, 1.225431e-01, 3.102937e+00, -1.970801e+00, -3.790653e+01, 1.000000, 3.070113e-01, 2.608015e-01, 
47, 1.000000e-01, 3.750409e+00, -1.520577e+01, -1.584457e+01, 1.000000, 3.070113e-01, 2.608015e-01, 
48, 1.850878e-01, 2.686821e+00, -3.131245e+00, -2.421506e+01, 4.000000, 3.070113e-01, 2.608015e-01, 
49, 3.219990e-01, 3.226111e+00, -2.631555e+00, -2.631555e+00, 11.000000, 3.070113e-01, 2.608015e-01, 
50, 1.577919e-01, 3.018203e+00, -1.905427e+00, -2.238124e+00, 3.000000, 3.070113e-01, 2.608015e-01, 
51, 6.201633e-02, 2.895164e+00, -2.650027e+00, -1.105830e+01, 2.000000, 3.070113e-01, 2.608015e-01, 
52, 9.966655e-02, 2.800689e+00, -3.143769e+00, -3.143769e+00, 10.000000, 3.070113e-01, 2.608015e-01, 
53, 1.162095e-01, 2.750829e+00, -3.446330e+00, -3.446330e+00, 3.000000, 3.070113e-01, 2.608015e-01, 
54, 1.225431e-01, 3.102937e+00, -1.970801e+00, -3.707448e+01, 1.000000, 3.070113e-01, 2.608015e-01, 
55, 9.806901e-02, 2.917655e+00, -1.954531e+00, -1.954531e+00, 1.000000, 3.070113e-01, 2.608015e-01, 
56, 1.850878e-01, 2.686821e+00, -3.131245e+00, -4.310137e+00, 4.000000, 3.070113e-01, 2.608015e-01, 
57, 3.468178e-01, 3.514615e+00, -3.110240e+00, -3.110240e+00, 11.000000, 3.070113e-01, 2.608015e-01, 
58, 1.577919e-01, 3.018203e+00, -1.905427e+00, -1.379847e+01, 3.000000, 3.070113e-01, 2.608015e-01, 
59, 6.201633e-02, 2.895164e+00, -2.650027e+00, -9.679929e+01, 2.000000, 3.070113e-01, 2.608015e-01, 
60, 9.966655e-02, 2.800689e+00, -3.143769e+00, -3.205488e+02, 10.000000, 3.070113e-01, 2.608015e-01, 
61, 1.162095e-01, 2.750829e+00, -3.446330e+00, -2.786172e+01, 3.000000, 3.070113e-01, 2.608015e-01, 
62, 1.225431e-01, 3.102937e+00, -1.970801e+00, -9.363753e+00, 1.000000, 3.070113e-01, 2.608015e-01, 
63, 9.806901e-02, 2.917655e+00, -1.954531e+00, -6.165456e+01, 1.000000, 3.070113e-01, 2.608015e-01, 
64, 1.850878e-01, 2.686821e+00, -3.131245e+00, -7.135709e+00, 4.000000, 3.070113e-01, 2.608015e-01, 
65, 3.541884e-01, 3.293185e+00, -2.784278e+00, -2.784278e+00, 11.000000, 3.070113e-01, 2.608015e-01, 
66, 1.577919e-01, 3.018203e+00, -1.905427e+00, -1.292760e+01, 3.000000, 3.070113e-01, 2.608015e-01, 
67, 3.820535e-02, 2.988725e+00, -1.835081e+00, -1.835081e+00, 2.000000, 3.070113e-01, 2.608015e-01, 
68, 9.966655e-02, 2.800689e+00, -3.143769e+00, -5.424634e+01, 10.000000, 3.070113e-01, 2.608015e-01, 
69, 1.162095e-01, 2.750829e+00, -3.446330e+00, -5.248706e+00, 3.000000, 3.070113e-01, 2.608015e-01, 
70, 1.415939e-01, 3.084122e+00, -1.935393e+00, -1.935393e+00, 1.000000, 3.070113e-01, 2.608015e-01, 
71, 9.806901e-02, 2.917655e+00, -1.954531e+00, -7.956755e+00, 1.000000, 3.070113e-01, 2.608015e-01, 
72, 1.850878e-01, 2.686821e+00, -3.131245e+00, -4.665728e+01, 4.000000, 3.070113e-01, 2.608015e-01, 
73, 3.435439e-01, 3.445817e+00, -2.983241e+00, -2.983241e+00, 11.000000, 3.070113e-01, 2.608015e-01, 
74, 1.577919e-01, 3.018203e+00, -1.905427e+00, -3.757370e+01, 3.000000, 3.070113e-01, 2.608015e-01, 
75, 3.820535e-02, 2.988725e+00, -1.835081e+00, -3.101623e+01, 2.000000, 3.070113e-01, 2.608015e-01, 
76, 9.966655e-02, 2.800689e+00, -3.143769e+00, -1.627564e+01, 10.000000, 3.070113e-01, 2.608015e-01, 
77, 1.162095e-01, 2.750829e+00, -3.446330e+00, -2.886495e+01, 3.000000, 3.070113e-01, 2.608015e-01, 
78, 1.415939e-01, 3.084122e+00, -1.935393e+00, -6.312354e+00, 1.000000, 3.070113e-01, 2.608015e-01, 
79, 9.806901e-02, 2.917655e+00, -1.954531e+00, -5.298481e+00, 1.000000, 3.070113e-01, 2.608015e-01, 
80, 1.850878e-01, 2.686821e+00, -3.131245e+00, -1.037839e+01, 4.000000, 3.070113e-01, 2.608015e-01, 
81, 3.180259e-01, 3.398735e+00, -2.877149e+00, -2.877149e+00, 11.000000, 3.070113e-01, 2.608015e-01, 
82, 1.577919e-01, 3.018203e+00, -1.905427e+00, -1.062751e+01, 3.000000, 3.070113e-01, 2.608015e-01, 
83, 3.820535e-02, 2.988725e+00, -1.835081e+00, -1.795523e+02, 2.000000, 3.070113e-01, 2.608015e-01, 
84, 9.966655e-02, 2.800689e+00, -3.143769e+00, -1.095174e+02, 10.000000, 3.070113e-01, 2.608015e-01, 
85, 1.128628e-01, 3.079032e+00, -1.879076e+00, -1.879076e+00, 3.000000, 3.070113e-01, 2.608015e-01, 
86, 1.415939e-01, 3.084122e+00, -1.935393e+00, -1.019517e+01, 1.000000, 3.070113e-01, 2.608015e-01, 
87, 9.806901e-02, 2.917655e+00, -1.954531e+00, -7.180594e+00, 1.000000, 3.070113e-01, 2.608015e-01, 
88, 1.850878e-01, 2.686821e+00, -3.131245e+00, -1.497105e+01, 4.000000, 3.070113e-01, 2.608015e-01, 
89, 2.831493e-01, 3.806334e+00, -4.193487e+00, -4.193487e+00, 11.000000, 3.070113e-01, 2.608015e-01, 
90, 1.577919e-01, 3.018203e+00, -1.905427e+00, -1.261236e+01, 3.000000, 3.070113e-01, 2.608015e-01, 
91, 3.820535e-02, 2.988725e+00, -1.835081e+00, -2.153094e+00, 2.000000, 3.070113e-01, 2.608015e-01, 
92, 9.966655e-02, 2.800689e+00, -3.143769e+00, -6.847793e+00, 10.000000, 3.070113e-01, 2.608015e-01, 
93, 1.128628e-01, 3.079032e+00, -1.879076e+00, -1.694807e+01, 3.000000, 3.070113e-01, 2.608015e-01, 
94, 1.415939e-01, 3.084122e+00, -1.935393e+00, -3.216514e+00, 1.000000, 3.070113e-01, 2.608015e-01, 
95, 9.806901e-02, 2.917655e+00, -1.954531e+00, -2.652018e+00, 1.000000, 3.070113e-01, 2.608015e-01, 
96, 1.850878e-01, 2.686821e+00, -3.131245e+00, -3.774761e+00, 4.000000, 3.070113e-01, 2.608015e-01, 
97, 2.448409e-01, 3.495372e+00, -3.244805e+00, -3.244805e+00, 11.000000, 3.070113e-01, 2.608015e-01, 
98, 1.577919e-01, 3.018203e+00, -1.905427e+00, -6.852906e+00, 3.000000, 3.070113e-01, 2.608015e-01, 
99, 3.820535e-02, 2.988725e+00, -1.835081e+00, -2.081918e+01, 2.000000, 3.070113e-01, 2.608015e-01, 
100, 9.966655e-02, 2.800689e+00, -3.143769e+00, -1.547508e+01, 10.000000, 3.070113e-01, 2.608015e-01, 
101, 1.128628e-01, 3.079032e+00, -1.879076e+00, -2.759411e+00, 3.000000, 3.070113e-01, 2.608015e-01, 
102, 1.415939e-01, 3.084122e+00, -1.935393e+00, -6.456013e+00, 1.000000, 3.070113e-01, 2.608015e-01, 
103, 9.806901e-02, 2.917655e+00, -1.954531e+00, -2.892835e+01, 1.000000, 3.070113e-01, 2.608015e-01, 
104, 3.723056e-01, 2.580638e+00, -3.293952e+00, -3.293952e+00, 4.000000, 3.070113e-01, 2.608015e-01, 
105, 2.448409e-01, 3.495372e+00, -3.244805e+00, -4.899960e+00, 11.000000, 3.070113e-01, 2.608015e-01, 
106, 1.577919e-01, 3.018203e+00, -1.905427e+00, -4.359638e+00, 3.000000, 3.070113e-01, 2.608015e-01, 
107, 3.820535e-02, 2.988725e+00, -1.835081e+00, -1.230602e+02, 2.000000, 3.070113e-01, 2.608015e-01, 
108, 9.966655e-02, 2.800689e+00, -3.143769e+00, -9.757830e+00, 10.000000, 3.070113e-01, 2.608015e-01, 
109, 1.128628e-01, 3.079032e+00, -1.879076e+00, -7.316193e+00, 3.000000, 3.070113e-01, 2.608015e-01, 
110, 1.415939e-01, 3.084122e+00, -1.935393e+00, -7.708094e+00, 1.000000, 3.070113e-01, 2.608015e-01, 
111, 9.806901e-02, 2.917655e+00, -1.954531e+00, -4.371964e+01, 1.000000, 3.070113e-01, 2.608015e-01, 
112, 3.795399e-01, 2.701100e+00, -3.024304e+00, -3.024304e+00, 4.000000, 3.070113e-01, 2.608015e-01, 
113, 2.065555e-01, 3.386134e+00, -2.990414e+00, -2.990414e+00, 11.000000, 3.070113e-01, 2.608015e-01, 
114, 1.577919e-01, 3.018203e+00, -1.905427e+00, -1.296931e+01, 3.000000, 3.070113e-01, 2.608015e-01, 
115, 3.820535e-02, 2.988725e+00, -1.835081e+00, -1.962930e+02, 2.000000, 3.070113e-01, 2.608015e-01, 
116, 9.966655e-02, 2.800689e+00, -3.143769e+00, -1.305862e+01, 10.000000, 3.070113e-01, 2.608015e-01, 
117, 1.128628e-01, 3.079032e+00, -1.879076e+00, -3.294417e+01, 3.000000, 3.070113e-01, 2.608015e-01, 
118, 1.565123e-01, 2.605827e+00, -4.393941e+00, -4.393941e+00, 1.000000, 3.070113e-01, 2.608015e-01, 
119, 9.806901e-02, 2.917655e+00, -1.954531e+00, -4.879447e+01, 1.000000, 3.070113e-01, 2.608015e-01, 
120, 2.719761e-01, 2.937665e+00, -2.378025e+00, -2.378025e+00, 4.000000, 3.070113e-01, 2.608015e-01, 
121, 2.065555e-01, 3.386134e+00, -2.990414e+00, -8.192601e+00, 11.000000, 3.070113e-01, 2.608015e-01, 
122, 1.577919e-01, 3.018203e+00, -1.905427e+00, -8.941426e+00, 3.000000, 3.070113e-01, 2.608015e-01, 
123, 3.820535e-02, 2.988725e+00, -1.835081e+00, -1.496068e+01, 2.000000, 3.070113e-01, 2.608015e-01, 
124, 7.584915e-02, 2.920704e+00, -2.044011e+00, -2.044011e+00, 10.000000, 3.070113e-01, 2.608015e-01, 
125, 1.128628e-01, 3.079032e+00, -1.879076e+00, -1.967944e+01, 3.000000, 3.070113e-01, 2.608015e-01, 
126, 1.565123e-01, 2.605827e+00, -4.393941e+00, -7.146440e+00, 1.000000, 3.070113e-01, 2.608015e-01, 
127, 6.830359e-02, 3.016124e+00, -1.675057e+00, -1.675057e+00, 1.000000, 3.070113e-01, 2.608015e-01, 
128, 2.719761e-01, 2.937665e+00, -2.378025e+00, -3.357148e+00, 4.000000, 3.070113e-01, 2.608015e-01, 
